ISO,energy1960,energy1971,energy1981,energy1990,energy2000,energy2011
ABW,,,,,,
AND,,,,,,
AFG,,,,,,
AGO,,636.57,581.28,569.31,538.53,672.74
ALB,,782.75,963.3,775.43,533.55,689.03
ARB,,400.51,874.79,1081.05,1317.83,1806.9
ARE,,3717.56,8133.63,11305.89,11216.25,7407.01
ARG,,1380.96,1430.34,1412.23,1651.73,1966.97
ARM,,,,2174.53,654.92,916.26
ASM,,,,,,
ATG,,,,1596.41,,
AUS,3063.55,3989.63,4694.68,5052.77,5644.54,5500.79
AUT,1546.26,2508.52,2897.01,3235.54,3564.58,3927.92
AZE,,,,3165.49,1403.43,1369.32
BDI,,,,,,
BEL,2519.16,4099.96,4415.36,4844.19,5707.43,5348.97
BEN,,371.8,353.27,332.18,285.3,384.56
BFA,,,,,,
BGD,,84.08,101.15,118.6,140.44,204.72
BGR,,2228.69,3185.51,3236.06,2287.38,2615.04
BHR,,6380.36,8294.95,8771.18,8776.32,7353.16
BHS,,,,2517.45,,
BIH,,,,1550.33,1133.49,1848.07
BLR,,,,4465.38,2468.23,3114.21
BLZ,,,,566.34,,
BMU,,,,,,
BOL,,236.19,466.8,384.25,439.91,746.16
BRA,,708.81,876.52,936.9,1074.13,1371.15
BRB,,,,1241.59,,
BRN,,1306.19,6526.08,6721.27,7186.55,9427.09
BTN,,,,104.48,,
BWA,,,750.2,911.31,1046.14,1115
CAA,,,,,,
CAF,,,,,,
CAN,4251.44,6530.34,7530.61,7504.78,8171.99,7333.28
CEA,,,,,,
CEU,,,,,,
CHE,1398.65,2637.67,3093.32,3627.66,3480.46,3206.96
CHI,,,,,,
CHL,,892.22,847.39,1060.2,1628.94,1939.72
CHN,,465.52,597.52,766.98,919.78,2029.36
CIV,,447.36,412.41,356.79,417.46,579.3
CLA,,,,,,
CME,,,,,,
CMR,,387.86,417.05,412.65,396.14,317.62
COG,,369.6,345.35,325.46,260.44,392.64
COL,,633.07,650.99,727.25,646.99,671.49
COM,,,,43.23,,
CPV,,,,82.53,,
CRI,,432.19,487.99,544.99,731.27,982.57
CSA,,,,,,
CSS,,,,1853.73,,
CUB,,1210.82,1521.63,1668.64,1154.45,992.07
CUW,,,,,,
CYM,,,,,,
CYP,,945.82,1232.1,1780.71,2265.41,2120.94
CZE,,4618.41,4567.88,4797.09,3997.39,4137.66
DEU,1952.53,3895.26,4399.5,4420.65,4094.12,3811.47
DJI,,,,220.46,,
DMA,,,,298.49,,
DNK,1922.97,3728.54,3381.43,3377.02,3489.7,3230.79
DOM,,503.16,596.02,562.93,865.61,727.45
