ISO,gdppercapita
AGO,4214.452
ALB,7364.711
ARG,14507.62
ARM,5235.04
ATG,12908.97
AUS,38499.27
AUT,37282.53
AZE,9317.076
BDI,490.1411
BEL,35446.27
BEN,1231.879
BFA,1051.515
BGD,1554.207
BGR,12906.67
BHR,20676.16
BHS,19366.61
BIH,7580.59
BLR,15352.88
BLZ,7366.64
BMU,38923.09
BOL,4166.779
BRA,9294.533
BRB,20642.24
BRN,67543.79
BTN,4607.017
BWA,11810.75
CAF,617.293
CAN,35344.87
CHE,44823.64
CHL,15243.33
CHN,8068.599
CIV,1371.83
CMR,1857.527
COD,290.6288
COG,2426.871
COL,8407.921
COM,921.2841
CPV,4125.808
CRI,10123.36
CYP,28183.25
CZE,23254.23
DEU,34519.98
DJI,2391.986
DMA,11329.31
DNK,35641.17
DOM,8726.599
ECU,6828.092
EGY,4836.366
ESP,28740.77
EST,20101.95
ETH,782.7052
FIN,33747.33
FJI,4644.74
FRA,31437.94
GAB,12402.88
GBR,32259.81
GEO,5838.794
GHA,2522.366
GIN,958.3188
GMB,1236.292
GNB,906.6696
GNQ,9175.825
GRC,23698.65
GRD,8502.426
GTM,4235.904
HKG,38568.79
HND,2919.84
HRV,17215.82
HUN,18852.01
IDN,4339.489
IND,3601.682
IRL,36704.62
IRN,11818.47
IRQ,4196.707
ISL,31921.62
ISR,25081.19
ITA,29089.05
JAM,5078.144
JOR,5092.498
JPN,30427.21
KAZ,16270.3
KEN,1297.574
KGZ,2216.599
KHM,2347.912
KNA,12706.19
KOR,27522.3
KWT,63199
LAO,2623.865
LBN,13158.62
LBR,474.4706
LCA,9197.708
LKA,4701.077
LSO,1487.824
LTU,17200.3
LUX,78130.59
LVA,16005.82
MAC,69471.51
MAR,3647.45
MDA,3392.567
MDG,759.4108
MDV,10343.66
MEX,12709.82
MKD,8239.94
MLI,941.0627
MLT,23993.08
MNE,11016.62
MNG,5219.469
MOZ,817.7017
MRT,2615.746
MUS,9645.057
MWI,802.2604
MYS,13468.81
NAM,5146.142
NER,522.5571
NGA,2338.89
NLD,38054.85
NOR,52414.59
NPL,1185.376
NZL,26666.53
OMN,31054.64
PAK,2472.885
PAN,12154.75
PER,8923.977
PHL,3521.055
POL,18430.43
PRT,22289.9
PRY,4351.297
QAT,124720.4
ROU,13574.31
RUS,18678.27
RWA,1201.498
SAU,25556.48
SDN,2373.994
SEN,1411.716
SGP,51643.66
SLE,867.033
SLV,1116.531
SRB,9574.917
STP,1851.732
SUR,6699.646
SVK,21466.95
SVN,24364.6
SWE,36100.79
SWZ,4239.249
SYR,3919.016
TCD,1851.122
TGO,946.6885
THA,8491.035
TJK,2436.886
TKM,12530.98
TTO,20196.31
TUN,6632.038
TUR,14437.29
TWN,28413.56
TZA,1269.39
UGA,1187.032
UKR,8175.737
URY,12625.06
USA,42646.21
UZB,6208.947
VCT,8091.779
VEN,10342.57
VNM,3447.766
YEM,2048.475
ZAF,8457.447
ZMB,2051.713
ZWE,4347.787
