ISO,undernourish199092,undernourish199496,undernourish199901,undernourish200406,undernourish201012
AFG,,,,,
ALB,9,2.4,3.8,9.7,7.8
DZA,5.2,6.4,5.8,5,3.7
AGO,63.9,56.4,47.5,35.1,27.4
ARG,2.1,1.2,0.9,1.9,4
ARM,,21.3,19,5.4,3
AZE,,26.3,14.7,2.2,1.5
BHR,,,,,
BGD,34.6,36.3,18.4,15.1,16.8
BLR,,1.1,2.3,2.8,0.4
BEN,22.4,18.7,16.4,13.1,8.1
BTN,,,,,
BOL,34.6,30.7,28.7,29.1,24.1
BIH,,6.4,6.3,2.1,2.8
BWA,27.4,29.3,34.5,32.9,27.9
BRA,14.9,13.5,12.1,8.7,6.9
BGR,3.5,7.8,7,7.9,6.9
BFA,22.9,18.6,26.4,25.8,25.9
BDI,49,58.4,63,67.9,73.4
KHM,39.9,37.7,33.8,27.4,17.1
CMR,38.7,37.3,29.1,19.5,15.7
CAF,49.5,50.6,45.1,40.6,30
TCD,61.1,50.5,41,37.3,33.4
CHL,8.1,5.6,4.4,3.2,3.7
CHN,21.4,15.9,14.4,13.1,11.5
COL,19.1,14.7,13,13.6,12.6
COM,43.5,49.1,64.8,58.1,70
COD,,,,,
COG,42.8,44.7,30.1,32.9,37.4
CRI,4,5,4.4,5,6.5
HRV,,14.6,11.6,2.1,1.5
CUB,11.5,16.1,2.8,1.1,0.6
CIV,13.7,14,19.9,19.6,21.4
DJI,68,58.1,47.1,32.6,19.8
DOM,30.4,25.7,21.6,18.6,15.4
ECU,24.5,18.5,20.9,21.4,18.3
EGY,2,1.6,1.5,2.2,1.6
SLV,15.6,14.2,9.2,10.6,12.3
ERI,,71.8,76.2,74.8,65.4
EST,,6.4,4.3,4.3,3.2
ETH,68,67.2,55.3,47.7,40.2
FJI,6.2,5.7,4.8,2.9,3.8
GAB,10.1,7.5,6.3,5.8,6.5
GMB,19.5,23.2,19.8,19.3,14.4
GEO,,42.3,21.5,28.9,24.7
GHA,40.5,22.7,16.6,9.5,3.4
GTM,16.2,20.5,26.5,29.9,30.4
GIN,18.4,22.1,20.6,17,17.3
GNB,22,23.1,21.4,18.5,8.7
GUY,19.7,11.9,7.9,9,5.1
HTI,63.5,59.1,53,53.5,44.5
HND,21.4,18.6,16.3,14.2,9.6
IND,26.9,25.2,21.3,20.9,17.5
IDN,19.9,15.2,17.8,15.1,8.6
IRN,3.4,3.5,4.3,5.8,5
IRQ,,,,,
JAM,9,8.1,6.9,7,8.7
JOR,6.7,8.6,6.1,2.9,3.7
KAZ,,0.8,8,1,0.5
KEN,35.6,31.9,32.8,32.9,30.4
KWT,28.7,4.8,1.6,0.9,1.6
KGZ,,13.8,15.8,9.4,6.4
LAO,44.6,44.1,39.5,33.4,27.8
LVA,,2,5.6,3.2,4.1
LBN,3.5,4,3.5,3.3,3.1
LSO,16.9,18,17.1,16.3,16.6
LBR,32.9,39.2,34.9,29.6,31.4
LBY,1,1.2,1.6,1.4,1.8
LTU,,4,2.3,1.5,1.1
MKD,,12.3,6.8,4.5,4.7
MDG,24.8,30.3,32.4,28.1,33.4
MWI,44.8,35.8,26.8,24.7,23.1
MYS,4.6,2.2,2.9,3.5,3
MLI,25.3,26.1,21.5,14.7,7.9
MRT,12.4,10.5,9.4,8.9,9.3
MUS,8.6,7.5,6.5,5.9,5.7
MEX,3.3,3.2,3.1,0.1,2.1
MDA,,15.4,19.8,16.6,23.3
MNG,37.5,48.5,37.6,32.5,24.2
MNE,,,,,2.8
MAR,7.1,6.5,6.2,5.2,5.5
MOZ,57.1,51.7,45.3,40.3,39.2
MMR,,,,,
NAM,37.5,37.2,24.9,26.8,33.9
NPL,25.9,27.1,24.5,21.7,18
NIC,55.1,44.9,34.3,26.7,20.1
NER,36.9,36.3,25.8,20,12.6
NGA,19.3,11.7,10.2,6.8,8.5
PRK,25.4,33.1,37,36.1,32
OMN,,,,,
PAK,26.4,23.2,24,22.8,19.9
PAN,22.8,23.3,25.7,19.7,10.2
PNG,,,,,
PRY,19.7,15.3,13,12.6,25.5
PER,32.6,25.7,22.5,21.4,11.2
PHL,24.2,21.3,20.9,18,17
QAT,,,,,
ROU,2.2,2.1,1.3,0.4,0.4
RUS,,5,4.7,2,1.7
RWA,52.6,60.1,46.5,42.1,28.9
SAU,3,3.4,1.3,2,2.6
SEN,21.7,25.7,24.2,16.9,20.5
SRB,,,,,4.9
SLE,41.9,36.2,41.1,35.5,28.8
SVK,,3.5,5.3,5.4,4.5
SOM,,,,,
ZAF,5,5.2,4.8,3.8,2.9
LKA,33.9,31.3,28.7,27.9,24
SDN,42.1,32.7,31.7,32,39.4
SUR,17.7,15.5,17.9,15.7,11.4
SWZ,16.1,22.6,17.7,18.7,27
SYR,4.8,4.1,3.5,3.4,3.2
TJK,,34,40.8,34.3,31.7
TZA,29.4,38.5,40.4,35.1,38.8
THA,43.8,33.7,19.6,11.2,7.3
TLS,,,,28.5,38.2
TGO,32.8,26.8,25.2,20.4,16.5
TTO,13.6,14.8,13,13.3,9.3
TUN,0.9,1,0.7,0.9,0.9
TUR,0.5,0.6,0.9,1,0.9
TKM,,10.2,8.1,5.5,3.4
UGA,26.6,30.6,26.5,27.9,34.6
UKR,,3.9,4.2,1.3,0.9
URY,7.3,5.1,4.3,4.6,5
UZB,,2.8,14.7,9.8,6.1
VEN,13.5,16.4,15.5,9.7,2.7
VNM,46.9,30.6,22,15.6,9
YEM,28.6,31,30.4,31.7,32.4
ZMB,34.3,35.5,43.9,48.3,47.4
ZWE,44.1,44.8,43.1,38.2,32.8
