ISO,gdppercapita1500,gdppercapita1600,gdppercapita1700,gdppercapita1750,gdppercapita1800,gdppercapita1820,gdppercapita1850,gdppercapita1870,gdppercapita1900,gdppercapita1913,gdppercapita1929,gdppercapita1938,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2008,gdppercapita2010
AFG,,,,,,,,,,,,,645,739,709,690,604,565,869,
AGO,,,,,,,,,,,,,1052,1253,1768,961,868.065,736.4,1599.1,1600.01
ALB,,,,,,,,446,685,811,926,,1001,1451,2004,2347,2499.4,2962.28,5010.03,5374.99
ARE,,,,,,,,,,,,,15798,22433,24552,27709,13960.8,12814.3,15346.5,13746.3
ARG,,,,,930.655,998.128,1251.41,1467.61,2875.35,3797.24,4367.07,4071.92,4986.72,5559.47,7301.97,8205.98,6432.92,8409.97,9971.92,10256.3
ARM,,,,,,,,,,,,,,,,,6065.84,4564.19,11647.3,10215
AUS,,,,,,518,1975,3273,4013,5157,5263,5886,7412,8791,12024,14412,17172.7,21377.8,25218.3,25584.5
AUT,,,,,,1218,1650,1863,2882,3465,3699,3559,3706,6519,9747,13759,16894.6,20961.7,24565.5,24095.7
AZE,,,,,,,,,,,,,,,,,4638.58,2418.7,7870.79,8840.59
BDI,,,,,,,,,,,,,360,444,540,603,704.618,495.977,479.116,
BEL,1467,1589,1375,1361,,,1847,2692,3731,4220,5054,4832,5462,6952,10611,14467,17197,20809.4,23701.3,23556.8
BEN,,,,,,,,,,,,,1084,978,1027,1128,1136.34,1284.61,1393.84,
BFA,,,,,,,,,,,,,474,609,745,731,807.077,977.134,1182.09,1234.09
BGD,,,,,,,,,,,,,540,545,630,549,631.031,856.3,1174.22,1276.23
BGR,,,,,,,,840,1223,1534,1180,1595,1651,2912,4773,6044,5596.9,5483.31,9278.93,8945.51
BHR,,,,,,,,,,,,,2104,2843,3788,4388,4104.06,4972.35,4860.1,4929.19
BIH,,,,,,,,,,,,,,1801.19,2666.96,4133.47,3696.65,3452.22,5348.54,5233.03
BLR,,,,,,,,,,,,,,,,,7194.29,6475.27,12638.3,13658.6
BOL,,,,,,,,,,,,,1919.36,1606.26,2176.38,2572,2197.48,2551.86,2949.91,3064.28
BRA,,,,,683.5,683.5,683.5,712.973,678.436,810.989,1137.44,1275.99,1671.72,2334.86,3056.72,5195.03,4920.06,5417.94,6542.01,6879.05
BWA,,,,,,,,,,,,,349,403,647,1765,3303.78,4084.11,4768.84,
CAF,,,,,,,,,,,,,772,925,891,737,642.417,574.835,535.739,
CAN,,,,,,904,1330,1695,2911,4447,5065,4546,7291,8753,12050,16176,18872.4,22487.7,25262.1,24941.2
CHE,,,,,,,,2876,5899,7093,8636,7967,9064,12457,16904,18779,21487.2,22521.4,25293.2,25033.2
CHL,,,,,626.107,604.547,909.505,1290.25,2194.03,2988.34,3455.43,3160.89,3669.74,4270.28,5231.43,5680.42,6400.94,10198.9,13479.1,13883.2
CHN,,,,,,600,600,530,545,552,562,562,448,662,778,1061,1870.93,3420.87,6724.78,8031.94
CMR,,,,,,,,,,,,,671,832,982,1192,1211.07,1076.17,1173.89,1179.34
COD,,,,,,,,,,,,,570,748,768,598,510.2,214.165,248.972,260.003
COG,,,,,,,,,,,,,1198,1416,1696,2324,2380.41,2004.23,2159.02,
COL,,,,,590.719,533.027,491.634,676.003,682.541,845.219,1504.7,1842.99,2152.84,2496.81,3094.22,4257.26,4825.74,5375.21,6839.71,7062.5
COM,,,,,,,,,,,,,560,712,1009,643,685.097,580.686,549.349,
CPV,,,,,,,,,,,,,450,508,619,841,1233.45,1775.61,2735.38,
CRI,,,,,,,,,,,1582,1876,1963,2715,3754,4911,4746.99,6135.72,7990.36,7996.78
CUB,,,,,503.285,644.457,771.837,927,1140,1752,1639,1357.72,2046.23,2051.88,1917.42,2644.47,2957.01,2421.75,3763.66,
CZE,,,,,,,,,,,,,,,,,8895.28,9320.19,13350.3,13096.6
DEU,1146,807,939,1050,986,,1428,1839,2985,3648,4051,4994,3881,7705,10839,14114,15928.8,18943.5,20801.4,20661.4
DJI,,,,,,,,,,,,,1500,1771,2069,1661,1447.74,1102.54,1254.39,
DNK,,,,,,1274,1767,2003,3017,3912,5075,5762,6943,8812,12686,15227,18452.4,22966.1,24788.6,23512.6
DOM,,,,,,,,,,,,,1027,1302,1561,2372,2471.13,3725.02,4959.57,5379.09
DZA,,,,,,430,,715,,1163,,,1365,2088,2249,3152,2946.87,2849.07,3447.42,3512.58
ECU,,,,,,,,411.241,594.388,815.258,1054.63,1053.99,1607.41,2026.01,2334.89,4108.57,3902.58,3911.08,5004.96,5049.55
EGY,680,,,,,475,,649,,902,,,910,991,1254,2069,2522.79,3257.77,4037.71,4266.96
