ISO,kcal1961,kcal1970,kcal1980,kcal1990,kcal2000,kcal2009
AGO,1804,1971,1970,1643,1811,2079
ALB,2234,2419,2660,2656,2842,2903
ANT,,,,2586,3087,3102
ARE,2891,2966,3304,3335,3271,3245
ARG,3109,3339,3225,2913,3268,2918
ARM,,,,,2280,2806
ATG,2008,2207,1971,2467,2155,2373
AUS,3093,3204,3066,3177,3014,3261
AUT,3192,3233,3352,3509,3809,3800
AZE,,,,,2444,3072
BDI,2105,2110,2025,1893,1674,1604
BEL,2942,3102,3310,3544,3724,3721
BEN,1747,1849,1930,2236,2395,2592
BFA,1459,1687,1646,2270,2371,2647
BGD,2130,2181,2070,2153,2309,2481
BGR,3170,3449,3590,3133,2816,2791
BHS,2447,2615,2627,2714,2785,2750
BIH,,,,,2681,3070
BLR,,,,,2990,3186
BLZ,2089,2279,2652,2461,2560,2680
BMU,2573,2894,2906,2791,2646,2716
BOL,1728,2003,2100,1977,2121,2172
BRA,2214,2410,2700,2721,2882,3173
BRB,2512,2814,3050,3068,2832,3021
BRN,1954,2188,2589,2786,2884,3088
BWA,1976,2035,1968,2219,2117,2164
CAF,2256,2340,2310,1890,1948,2181
CAN,2809,2920,2950,3019,3515,3399
CHE,3566,3490,3500,3424,3442,3454
CHL,2497,2638,2688,2536,2808,2908
CHN,1426,1858,2163,2562,2867,3036
CIV,2223,2585,2840,2489,2550,2670
CMR,1994,2143,2204,2018,2133,2457
COG,2091,1891,2066,2004,2171,2056
COL,1964,1944,2327,2394,2662,2717
COM,2047,2155,2104,2318,2025,2139
CRI,1974,2253,2568,2802,2825,2886
CUB,2123,2585,2900,2930,3046,3258
CYP,2477,3055,2458,2685,2677,2678
CZE,3301,3357,3342,3650,3076,3305
DEU,2888,3146,3338,3321,3423,3549
DJI,1577,1686,1515,1693,1969,2419
DMA,1734,2001,2231,2963,3081,3147
DNK,3188,3158,3129,3129,3312,3378
DOM,1715,1966,2274,2084,2322,2491
DZA,1700,1790,2657,2855,2922,3239
ECU,1913,2074,2204,2131,2221,2267
EGY,2086,2299,2856,3154,3318,3349
ERI,,,,,1506,1640
ESP,2633,2731,3065,3279,3375,3239
EST,,,,,3061,3163
ETH,1840,1695,1842,1556,1808,2097
FIN,3265,3129,3097,3147,3165,3240
FJI,2556,2277,2479,2677,2847,2996
FRA,3194,3302,3378,3515,3608,3531
GAB,1977,2170,2430,2418,2685,2745
GBR,3231,3279,3117,3244,3372,3432
GEO,,,,,2378,2743
GHA,1986,2138,1575,1719,2472,2934
GIN,1979,2047,2401,2540,2490,2652
GMB,2042,2179,1878,2394,2350,2643
GNB,1740,1738,1979,2249,2372,2476
GRC,2824,3146,3194,3539,3608,3661
GRD,1732,2241,2258,2496,2220,2456
GTM,1808,2017,2152,2350,2096,2244
GUY,2308,2235,2438,2386,2814,2718
HND,1886,2078,2075,2317,2435,2694
HRV,,,,,2532,3130
HTI,1905,1866,1942,1731,1931,1979
HUN,3078,3330,3509,3702,3392,3477
IDN,1759,1859,2157,2266,2431,2646
IND,2017,2116,1990,2185,2264,2321
IRL,3359,3434,3574,3617,3718,3617
IRN,1747,2100,2723,3010,3137,3143
ISL,3256,3016,3167,3055,3155,3376
ISR,2806,3131,3099,3398,3539,3569
ITA,2955,3454,3603,3584,3720,3627
JAM,1915,2493,2652,2642,2729,2807
JOR,2106,2148,2522,2724,2687,2977
JPN,2524,2743,2795,2945,2902,2723
KAZ,,,,,2396,3284
KEN,2284,2314,2310,2010,2059,2092
KGZ,,,,,2401,2791
KHM,2019,2113,1731,1841,2129,2382
KIR,2424,2689,2894,2587,2763,2866
KNA,1717,2077,2368,2611,2513,2546
KOR,2141,2815,3023,2956,3090,3200
KWT,2495,2543,2954,2281,3490,3681
LAO,1946,2017,1968,2044,2146,2377
LBN,2294,2338,2632,2965,3056,3153
LBR,2021,2350,2441,2136,2191,2261
LBY,1637,2356,3265,3222,3175,3157
LCA,1688,1904,2184,2497,2720,2710
LKA,2049,2257,2277,2166,2332,2426
LSO,2013,2013,2254,2273,2327,2371
LTU,,,,,3201,3486
LUX,,,,,3514,3637
LVA,,,,,2769,2923
MAR,2174,2448,2701,3073,3056,3264
MDA,,,,,2432,2707
MDG,2460,2539,2490,2266,2073,2117
MDV,1524,1745,2219,2318,2510,2720
MEX,2316,2594,3068,3033,3158,3146
MKD,,,,,2801,2957
MLI,1594,1863,1560,2205,2217,2624
MLT,2846,3143,3285,3078,3422,3438
MMR,1684,1990,2226,1938,2174,2493
MNE,,,,,,2887
MNG,2014,2208,2341,2244,2165,2434
MOZ,1852,1819,1878,1807,1979,2112
MRT,2275,2033,2155,2540,2713,2856
MUS,2376,2347,2627,2725,2877,2993
MWI,2011,2347,2221,1927,2209,2318
MYS,2419,2586,2765,2656,2864,2902
NAM,2208,2196,2254,2061,2226,2151
NCL,2848,3143,2940,2814,2742,2826
NER,1575,1885,2069,2146,2171,2489
NGA,1915,1951,1814,2153,2611,2711
NIC,1911,2070,2032,1741,2148,2517
NLD,3061,3098,3175,3269,3200,3261
NOR,3002,3011,3346,3154,3352,3453
NPL,1768,1795,1753,2161,2257,2443
NZL,2926,2958,3062,3254,3153,3172
PAK,1870,2365,2191,2324,2374,2423
PAN,2116,2212,2142,2305,2195,2606
PER,2133,2197,2047,2028,2379,2563
PHL,1806,1830,2296,2290,2412,2580
POL,3337,3433,3583,3350,3423,3392
PRK,1955,2097,2211,2377,2135,2078
PRT,2473,3001,2780,3393,3534,3617
PRY,2136,2457,2540,2423,2596,2518
PYF,2571,2876,2736,2810,2791,2942
ROU,2841,2874,3185,3149,3170,3487
RUS,3095,3354,3369,3364,2889,3172
RWA,1804,2200,2256,1741,1867,2188
SAU,1730,1898,2897,2885,3126,3076
SDN,1600,1964,2082,1934,2165,2326
SEN,2389,2259,2244,2316,2243,2479
SLB,2185,2284,2218,2125,2366,2439
SLE,1789,2244,2142,1990,1989,2162
SLV,1598,1761,2261,2318,2561,2574
SRB,,,,,,2823
SRB,,,,,2654,
SSD,,,,,,
STP,2265,2116,2057,2233,2374,2734
SUR,1910,2226,2404,2388,2457,2548
SVK,,,,,2797,2881
SVN,,,,,3056,3275
SWE,2829,2877,2992,2974,3101,3125
SWZ,2233,2297,2373,2338,2362,2249
SYC,1876,1968,2263,2191,2432,2426
SYR,2029,2353,2980,2896,3103,3212
TCD,2290,2107,1618,1629,1954,2074
TGO,2045,2109,2091,2161,2208,2363
THA,1899,2128,2058,2069,2650,2862
TJK,,,,,1912,2106
TKM,,,,,2608,2878
TLS,1745,1713,2078,1837,1902,2076
TTO,2301,2402,3001,2635,2696,2751
TUN,2092,2319,2883,3124,3236,3314
TUR,2889,3080,3430,3766,3636,3666
TZA,1742,1707,2218,2157,1999,2137
UGA,2313,2416,2029,2309,2270,2260
UKR,,,,,2896,3198
URY,2796,3029,2865,2509,2844,2808
USA,2881,3035,3183,3507,3804,3688
UZB,,,,,2376,2618
VCT,1809,2251,2408,2354,2528,2914
VEN,2168,2350,2856,2394,2484,3014
VNM,1794,1963,1962,1902,2269,2690
VUT,2446,2570,2586,2580,2700,2841
WSM,1929,2238,2448,2616,2753,2997
YEM,1783,1829,2015,2020,2073,2109
ZAF,2671,2818,2862,2830,2894,3017
ZMB,2210,2278,2302,2055,1864,1879
ZWE,2102,2275,2288,2008,1985,2219
