ISO,youth,adult,elderly
PRK,100.0,100.0,100.0
EST,99.8,99.8,99.6
CUB,100.0,99.8,99.2
LVA,99.7,99.8,99.4
LTU,99.8,99.7,99.3
RUS,99.7,99.7,99.2
GEO,99.8,99.7,98.8
KAZ,99.8,99.7,98.7
BLR,99.8,99.6,98.6
AZE,100.0,99.8,98.2
UKR,99.8,99.7,97.5
TON,99.4,99.0,98.0
ARM,99.8,99.6,96.8
TJK,99.9,99.7,95.1
ITA,99.9,99.0,95.1
BGR,97.9,98.4,97.5
CHL,98.9,98.6,95.3
CYM,98.9,98.9,94.7
URY,98.8,98.1,95.6
CYP,99.8,98.7,93.8
HRV,99.6,98.9,93.1
KGZ,99.8,99.2,92.5
ARG,99.2,97.9,93.8
ESP,99.6,97.7,92.6
MDV,99.3,98.4,92.0
ROU,97.2,97.7,91.9
UZB,99.9,99.4,87.1
ABW,99.1,96.8,88.9
GRC,99.4,97.3,86.9
ALB,98.8,96.8,86.3
MNG,95.7,97.4,88.1
BIH,99.7,98.0,83.2
MDA,100.0,99.0,80.9
PHL,97.8,95.4,86.5
MKD,98.7,97.4,82.5
CRI,98.3,96.3,82.6
PAN,97.6,94.1,80.9
MLT,98.3,92.4,81.8
VEN,98.5,95.5,78.1
SGP,99.8,95.9,75.7
COL,98.2,93.6,78.1
PRY,98.6,93.9,77.4
SUR,98.4,94.7,76.7
CHN,99.6,95.1,73.9
MAC,99.7,95.6,72.6
LKA,98.2,91.2,76.7
THA,98.1,93.5,72.7
MEX,98.5,93.5,72.2
MMR,96.1,92.7,75.2
TUR,98.7,94.1,70.8
ZAF,98.8,93.0,68.6
ECU,98.7,91.6,69.7
DOM,97.0,90.1,72.4
QAT,96.8,96.3,66.3
BRA,97.5,90.4,70.6
SYC,99.1,91.8,66.6
IDN,98.8,92.8,64.3
VNM,97.1,93.4,64.4
PER,97.4,89.6,65.8
BOL,99.4,91.2,61.3
JOR,99.1,95.9,55.0
MYS,98.4,93.1,58.5
KWT,98.6,93.9,57.4
LBN,98.7,89.6,58.6
GNQ,98.1,94.2,52.8
GUY,93.1,85.0,64.4
BHR,98.2,94.6,49.3
BDI,88.9,86.9,62.5
MUS,96.8,88.8,52.4
SLV,96.0,84.5,57.0
ZWE,90.9,83.6,59.0
BRN,99.7,95.4,37.6
HND,95.9,85.1,48.1
ARE,95.0,90.0,42.1
SYR,95.3,84.1,39.0
SWZ,93.7,87.8,36.7
LSO,83.2,75.8,55.4
NIC,87.0,78.0,49.2
IRN,98.7,85.0,28.9
BWA,95.2,85.1,30.9
SAU,98.0,87.2,25.8
OMN,97.7,86.9,23.3
NAM,87.1,76.5,42.6
GTM,87.4,75.9,40.6
KHM,87.1,73.9,40.1
COM,86.0,75.5,38.2
POL,100.0,99.7,
TUN,97.2,79.1,23.3
SVN,99.9,99.7,
TKM,99.8,99.6,
TTO,99.6,98.8,
KEN,82.4,72.2,43.8
WSM,99.5,98.8,
EGY,89.3,73.9,35.1
HUN,98.9,99.0,
MNE,99.3,98.5,
SRB,99.3,98.0,
STP,80.2,69.5,46.4
PRT,99.7,95.4,
UGA,87.4,73.2,34.5
ANT,98.5,96.5,
TZA,74.6,67.8,52.4
PSE,99.3,95.3,
MDG,64.9,64.5,63.3
GHA,85.7,71.5,34.9
LAO,83.9,72.7,35.4
LBY,99.9,89.5,
SDN,87.3,71.9,28.1
GAB,97.9,89.0,
CPV,98.4,84.9,
JAM,95.6,87.0,
ZMB,64.0,61.4,55.2
DZA,91.8,72.6,15.7
IRQ,82.4,78.5,18.6
IND,81.1,62.8,35.2
CMR,80.6,71.3,26.1
VUT,94.6,83.2,
COD,65.8,61.2,50.6
ERI,90.1,68.9,18.1
AGO,73.0,70.4,33.7
PRI,86.6,90.3,
RWA,77.3,65.9,32.4
MWI,72.1,61.3,34.6
MAR,81.5,67.1,13.8
TGO,79.9,60.4,18.3
NPL,82.4,57.4,17.1
YEM,86.4,65.3,
PAK,70.7,54.9,24.9
TLS,79.5,58.3,11.2
BTN,74.4,52.8,17.3
SEN,65.0,49.7,26.3
NGA,66.4,51.1,21.6
MOZ,67.1,50.6,21.1
GNB,73.2,55.3,9.7
CAF,65.6,56.6,14.2
BGD,78.7,57.7,
GMB,68.1,51.1,15.8
PNG,70.8,62.4,
HTI,72.3,48.7,8.5
MRT,69.0,58.6,
LBR,49.1,42.9,32.8
SLE,61.0,43.3,13.8
ETH,55.0,39.0,13.6
ATG,,99.0,
MLI,46.9,33.4,13.2
ISR,,,91.4
TCD,47.9,35.4,2.6
NER,36.5,28.7,15.6
BEN,42.4,28.7,8.2
BFA,39.3,28.7,9.1
GIN,31.4,25.3,8.6
