ISO,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2011
AGO,no data,no data,2396.24,1890.47,1899.19,1737.91,4214.45
ALB,no data,no data,3747.64,4432.34,4514.57,4452.59,7364.71
ARG,2146.2,2383.17,2950.94,3371.9,4604.34,10176.36,14507.62
ARM,no data,no data,no data,no data,3900.92,2603.84,5235.04
ATG,no data,no data,4328.64,5736.07,12010.77,13383.41,12908.97
AUS,11644.58,12290.4,16750.87,19705.87,24053.4,31808.55,38499.27
AUT,4836.15,8441.36,12406.66,16625.4,22479.43,32914.96,37282.53
AZE,no data,no data,no data,no data,6497.4,2528.23,9317.08
BDI,no data,470.13,558.01,602.03,570.77,447.59,490.14
BEL,7192.08,9337.65,14252.76,20262.21,23044.89,31589.38,35446.27
BEN,no data,963.57,1153.63,1174.91,1045.28,1174.38,1231.88
BFA,no data,449.62,503.75,628.02,624.79,721.13,1051.52
BGD,no data,1322.64,1364.96,1085.39,1234.21,1167,1554.21
BGR,no data,no data,3023.84,5641.5,7645.89,7372.05,12906.67
BHR,no data,no data,13387.91,18576.87,14099.57,15795.16,20676.16
BHS,no data,no data,12045.06,16739.48,18701.11,24837.23,19366.61
BIH,no data,no data,no data,no data,1139.42,4939.54,7580.59
BLR,no data,no data,no data,no data,11828.46,7164.24,15352.88
BLZ,no data,no data,3510.06,4488.82,5484.8,6154.07,7366.64
BMU,no data,no data,18520.14,23830.81,27541.63,33073.43,38923.09
BOL,1582.88,1360.28,1629.12,1972.37,2029.8,2813.76,4166.78
BRA,1411.16,1982.09,3116.37,4880.1,5297.13,7528.17,9294.53
BRB,no data,7672.37,12535.21,11653.11,15011.21,22873.81,20642.24
BRN,no data,no data,54554.44,92356.66,42988.11,41300.89,67543.79
BTN,no data,no data,1084.24,1097.75,1783.55,3048.4,4607.02
BWA,no data,382.84,706.12,1988.03,5717.01,8128.86,11810.75
CAF,no data,992.57,1032.93,719.11,756.2,667.84,617.29
CAN,9710.96,11758.04,16064.66,22107.57,26972.52,33487.43,35344.87
CHE,12070.05,17055.31,23658.73,26582.04,32568.88,36982.28,44823.64
CHL,no data,4543.03,6336.88,6369.5,6770.39,9467.99,15243.33
CHN,no data,928.15,966.92,1324.05,2040.91,3533.3,8068.6
CIV,no data,1584.41,2363.19,2095.72,1997.16,1663.28,1371.83
CMR,no data,1116.78,1233.6,1814.96,2119.61,1869.82,1857.53
COD,739.08,926.44,836.55,770.79,475.37,218.87,290.63
COG,no data,900.55,1270.84,2052.39,1689.18,1820.18,2426.87
COL,2949.92,3200.43,4025.07,6465.89,6119.72,6013.63,8407.92
COM,no data,729.54,1166.41,1334.29,1219.26,986.33,921.28
CPV,no data,709.46,965.64,943.48,1391.21,2331.72,4125.81
CRI,2971.12,4313.57,5446.86,7107,6506.52,8457.76,10123.36
CYP,2182.41,2989.13,5797.19,10199.49,17073.42,22212.43,28183.25
CZE,no data,no data,no data,no data,19351.1,17762.98,23254.23
DEU,4093.34,8878.53,12944.22,17643.99,22186.78,29455.96,34519.98
DJI,no data,no data,5402.75,3160.54,2124.67,1853.05,2391.99
DMA,no data,no data,2899.32,3724.18,6625.89,8772.89,11329.31
DNK,8404.84,11049.58,16978.34,20150.15,23328.95,32337.08,35641.17
DOM,no data,2124.77,2705.56,4122.13,3861.56,6018.12,8726.6
ECU,no data,2133.88,2533.23,4615.76,4016.7,4125.23,6828.09
EGY,525.57,559.5,905.4,1067.67,1826.24,3930.71,4836.37
ESP,3106.93,5065.63,9549.38,12910.44,15624.25,24135.06,28740.77
EST,no data,no data,no data,no data,10430.86,11340.11,20101.95
ETH,357.36,458.14,556.73,620.81,631.86,434.72,782.71
FIN,5215.88,8068.54,13099.4,17219.69,22151.39,29033.42,33747.33
FJI,no data,2355.07,2951.07,4700.13,5091.43,5081.89,4644.74
FRA,6289.56,9274.14,14512.68,20261.86,22161.64,28771.65,31437.94
GAB,no data,2608.77,5351.55,11875.54,7756.92,7354.3,12402.88
GBR,8022.19,10313.25,13004.91,17100.94,20882.37,30119.66,32259.81
GEO,no data,no data,no data,no data,9461.83,2636.98,5838.79
GHA,no data,2107.66,2114.91,1636.55,1384.54,1660.58,2522.37
GIN,no data,1817.03,1590,2035.02,1920.2,1243.92,958.32
GMB,no data,1191.77,1266.55,1128.38,1134.53,1168.62,1236.29
GNB,no data,860.12,1230.59,950.1,973.45,767.41,906.67
GNQ,no data,285.03,353.5,624.22,301.39,3219.18,9175.83
GRC,no data,4009.71,8588.25,11881.03,14099.06,20260.49,23698.65
GRD,no data,no data,1531.14,2575.03,4174.71,7319.04,8502.43
GTM,2180.87,2222.53,2889.37,3603.13,3165.44,3738.77,4235.9
HKG,no data,3322.38,6777.86,13153.96,21584.44,29430.91,38568.79
HND,2042.77,1924.48,2108.75,2670.75,2495.73,2570.91,2919.84
HRV,no data,no data,no data,no data,13097.54,12016,17215.82
HUN,no data,no data,4940.08,9239.14,11313.6,13727.06,18852.01
IDN,no data,790.04,825.2,1886.62,2738.11,3181.15,4339.49
IND,804.98,981.56,1222.28,1074.71,1217.35,1831,3601.68
IRL,4487.25,5669.67,8125.97,11791.66,16235.25,32496.71,36704.62
IRN,no data,2099.85,3028.48,3545.68,2599.81,6202.31,11818.47
IRQ,no data,no data,2577.81,5724.12,3902.56,4039.05,4196.71
ISL,7260.5,9736.25,14466.64,24248.19,27283.9,33563.71,31921.62
ISR,3618.18,4892.72,11729.06,14207.13,18723.7,27800.8,25081.19
ITA,3826.11,6323.15,11089.52,17528.78,22124.39,29575.04,29089.05
JAM,no data,4315.98,5474.39,3759.27,4240.65,4928.54,5078.14
JOR,no data,2651.81,2702.27,4060.77,3172.03,3152.38,5092.5
JPN,1942.21,3888.83,11451.39,17075.45,23989.23,29551.81,30427.21
KAZ,no data,no data,no data,no data,9892.69,5439.56,16270.3
KEN,1271.17,1396.12,1474.72,1666.85,1620.79,1337.43,1297.57
KGZ,no data,no data,no data,no data,6665.15,2077.07,2216.6
KHM,no data,no data,1298.75,662.65,785.1,1022.61,2347.91
KNA,no data,no data,2426.75,4801.94,8425.91,11814.2,12706.19
KOR,no data,1074,1903.57,4340.13,10678.81,19598.82,27522.3
