ISO,gdppercapita
AGO,2396.237
ALB,3747.635
ARG,2950.942
ARM,
ATG,4328.643
AUS,16750.87
AUT,12406.66
AZE,
BDI,558.0079
BEL,14252.76
BEN,1153.632
BFA,503.7537
BGD,1364.962
BGR,3023.835
BHR,13387.91
BHS,12045.06
BIH,
BLR,
BLZ,3510.059
BMU,18520.14
BOL,1629.12
BRA,3116.374
BRB,12535.21
BRN,54554.44
BTN,1084.235
BWA,706.1188
CAF,1032.928
CAN,16064.66
CHE,23658.73
CHL,6336.881
CHN,966.9193
CIV,2363.192
CMR,1233.597
COD,836.5491
COG,1270.842
COL,4025.065
COM,1166.413
CPV,965.6379
CRI,5446.862
CYP,5797.188
CZE,
DEU,12944.22
DJI,5402.746
DMA,2899.323
DNK,16978.34
DOM,2705.561
ECU,2533.227
EGY,905.399
ESP,9549.378
EST,
ETH,556.725
FIN,13099.4
FJI,2951.071
FRA,14512.68
GAB,5351.547
GBR,13004.91
GEO,
GHA,2114.914
GIN,1589.996
GMB,1266.552
GNB,1230.592
GNQ,353.4974
GRC,8588.246
GRD,1531.139
GTM,2889.37
HKG,6777.863
HND,2108.753
HRV,
HUN,4940.075
IDN,825.1996
IND,1222.277
IRL,8125.974
IRN,3028.479
IRQ,2577.807
ISL,14466.64
ISR,11729.06
ITA,11089.52
JAM,5474.388
JOR,2702.272
JPN,11451.39
KAZ,
KEN,1474.722
KGZ,
KHM,1298.751
KNA,2426.754
KOR,1903.567
KWT,17249.84
LAO,654.5164
LBN,5189.383
LBR,1596.03
LCA,3800.867
LKA,2560.14
LSO,536.8235
LTU,
LUX,22242.02
LVA,
MAC,5326.997
MAR,1914.602
MDA,
MDG,1327.293
MDV,1108.232
MEX,6929.521
MKD,
MLI,452.4133
MLT,6220.095
MNE,
MNG,958.0692
MOZ,408.3356
MRT,1665.124
MUS,3806.058
MWI,774.9073
MYS,2743.984
NAM,4142.389
NER,1030.42
NGA,1716.312
NLD,14861.05
NOR,14899.9
NPL,754.1729
NZL,14157.92
OMN,4029.801
PAK,1453.329
PAN,4630.287
PER,3357.036
PHL,2076.392
POL,4616.731
PRT,6807.177
PRY,1815.403
QAT,79686.53
ROU,2526.235
RUS,
RWA,971.1969
SAU,13668.99
SDN,1010.456
SEN,1633.781
SGP,5262.325
SLE,1182.678
SLV,816.8773
SRB,
STP,1313.201
SUR,4156.312
SVK,
SVN,
SWE,16515.69
SWZ,1504.573
SYR,2743.493
TCD,1123.319
TGO,1082.392
THA,1982.099
TJK,
TKM,
TTO,9203.117
TUN,2200.061
TUR,5732.4
TWN,3770.126
TZA,1287.398
UGA,985.3346
UKR,
URY,7049.309
USA,20494.5
UZB,
VCT,2805.527
VEN,8744.6
VNM,700.0632
YEM,
ZAF,5312.415
ZMB,3873.556
ZWE,2128.354
