ISO,Rate,fillKey
SLE,181.6,>100
AGO,163.5,>100
TCD,149.8,>100
SOM,147.4,>100
COD,145.7,>100
GNB,129.1,>100
CAF,128.6,>100
MLI,128,>100
NGA,123.7,>100
NER,113.5,>100
CIV,107.6,>100
BDI,104.3,>100
SSD,104,>100
BFA,102.4,>100
GIN,101.2,>100
GNQ,100.3,>100
LSO,99.6,50-100
AFG,98.5,50-100
COG,96,50-100
TGO,95.5,50-100
CMR,94.9,50-100
ZWE,89.8,50-100
MOZ,89.7,50-100
BEN,89.5,50-100
ZMB,88.5,50-100
PAK,85.9,50-100
MRT,84,50-100
DJI,80.9,50-100
SWZ,79.7,50-100
COM,77.6,50-100
HTI,75.6,50-100
LBR,74.8,50-100
SDN,73.1,50-100
GMB,72.9,50-100
KEN,72.9,50-100
GHA,72,50-100
LAO,71.8,50-100
MWI,71,50-100
UGA,68.9,50-100
ETH,68.3,50-100
PNG,63,50-100
GAB,62,50-100
YEM,60,50-100
KIR,59.9,50-100
SEN,59.6,50-100
TJK,58.3,50-100
MDG,58.2,50-100
TLS,56.7,50-100
IND,56.3,50-100
RWA,55,50-100
TZA,54,50-100
BWA,53.3,50-100
STP,53.2,50-100
TKM,52.8,50-100
MMR,52.3,50-100
ERI,51.8,50-100
BTN,44.6,20-50
ZAF,44.6,20-50
NPL,41.6,20-50
BOL,41.4,20-50
BGD,40.9,20-50
KHM,39.7,20-50
UZB,39.6,20-50
NAM,38.7,20-50
FSM,38.5,20-50
MHL,37.9,20-50
NRU,37.1,20-50
AZE,35.2,20-50
GUY,35.2,20-50
IRQ,34.4,20-50
GTM,32,20-50
MAR,31.1,20-50
SLB,31.1,20-50
IDN,31,20-50
PHL,29.8,20-50
TUV,29.7,20-50
PRK,28.8,20-50
MNG,27.5,20-50
DOM,27.1,20-50
KGZ,26.6,20-50
NIU,25.1,20-50
NIC,24.4,20-50
VCT,23.4,20-50
ECU,23.3,20-50
VNM,23,20-50
HND,22.9,20-50
PSE,22.6,20-50
FJI,22.4,20-50
CPV,22.2,20-50
PRY,22,20-50
EGY,21,20-50
PLW,20.8,20-50
SUR,20.8,20-50
TTO,20.7,20-50
DZA,20,10--20
GEO,19.9,10--20
JOR,19.1,10--20
KAZ,18.7,10--20
PAN,18.5,10--20
BRB,18.4,10--20
BLZ,18.3,10--20
PER,18.2,10--20
VUT,17.9,10--20
WSM,17.8,10--20
COL,17.6,10--20
IRN,17.6,10--20
MDA,17.6,10--20
LCA,17.5,10--20
BHS,16.9,10--20
JAM,16.8,10--20
ALB,16.7,10--20
ARM,16.4,10--20
MEX,16.2,10--20
TUN,16.1,10--20
SLV,15.9,10--20
LBY,15.4,10--20
VEN,15.3,10--20
MUS,15.1,10--20
SYR,15.1,10--20
BRA,14.4,10--20
ARG,14.2,10--20
TUR,14.2,10--20
CHN,14,10--20
GRD,13.5,10--20
THA,13.2,10--20
SYC,13.1,10--20
TON,12.8,10--20
DMA,12.6,10--20
ROU,12.2,10--20
BGR,12.1,10--20
OMN,11.6,10--20
KWT,11,10--20
UKR,10.7,10--20
COK,10.6,10--20
MDV,10.5,10--20
RUS,10.3,10--20
ATG,9.9,5--10
CRI,9.9,5--10
BHR,9.6,5--10
LKA,9.6,5--10
LBN,9.3,5--10
KNA,9.2,5--10
CHL,9.1,5--10
LVA,8.7,5--10
SAU,8.6,5--10
MYS,8.5,5--10
ARE,8.4,5--10
BRN,8,5--10
SVK,7.5,5--10
MKD,7.4,5--10
QAT,7.4,5--10
URY,7.2,5--10
USA,7.1,5--10
MLT,6.8,5--10
BIH,6.7,5--10
SRB,6.6,5--10
HUN,6.2,5--10
MNE,5.9,5--10
NZL,5.7,5--10
CUB,5.5,5--10
LTU,5.4,5--10
CAN,5.3,5--10
BLR,5.2,5--10
POL,5,5--10
AUS,4.9,<5
GRC,4.8,<5
GBR,4.8,<5
HRV,4.7,<5
ESP,4.5,<5
CHE,4.3,<5
BEL,4.2,<5
ISR,4.2,<5
FRA,4.1,<5
DEU,4.1,<5
NLD,4.1,<5
AUT,4,<5
IRL,4,<5
CZE,3.8,<5
ITA,3.8,<5
KOR,3.8,<5
MCO,3.8,<5
DNK,3.7,<5
EST,3.6,<5
PRT,3.6,<5
SMR,3.3,<5
AND,3.2,<5
CYP,3.2,<5
SVN,3.1,<5
JPN,3,<5
FIN,2.9,<5
SGP,2.9,<5
SWE,2.9,<5
NOR,2.8,<5
ISL,2.3,<5
LUX,2.2,<5
LIE,,
