Country Name,ISO,growth196169,growth197079,growth198089,growth199099,growth200009,growth20102012
Aruba,ABW,,,,4.28,-0.68,
Andorra,AND,,3.82,2.79,3.24,5.53,
Afghanistan,AFG,,,,,9.23,9.64
Angola,AGO,,,4.18,0.99,11.50,4.72
Albania,ALB,,,2.62,0.65,5.62,2.70
Arab World,ARB,,8.12,1.37,3.95,5.10,5.14
United Arab Emirates,ARE,,14.33,1.56,5.46,4.93,3.31
Argentina,ARG,4.11,2.93,-0.73,4.52,3.57,6.64
Armenia,ARM,,,,-3.36,8.67,4.70
American Samoa,ASM,,,,,,
Antigua and Barbuda,ATG,,5.76,6.74,3.31,3.34,-2.63
Australia,AUS,4.89,3.43,3.40,3.32,3.24,2.65
Austria,AUT,4.59,4.01,2.00,2.76,1.71,1.82
Azerbaijan,AZE,,,,-5.93,15.91,2.37
Burundi,BDI,2.93,4.47,4.29,-1.43,2.88,4.00
Belgium,BEL,4.77,3.54,2.15,2.18,1.54,1.32
Benin,BEN,3.08,2.28,3.13,4.94,4.15,3.83
Burkina Faso,BFA,3.27,3.28,3.74,5.12,5.37,7.23
Bangladesh,BGD,3.89,1.52,3.22,4.80,5.81,6.34
Bulgaria,BGR,,,3.85,-2.55,4.68,1.00
Bahrain,BHR,,,1.41,5.52,5.47,3.28
"Bahamas, The",BHS,9.85,2.31,4.04,1.64,1.00,1.49
Bosnia and Herzegovina,BIH,,,,33.87,4.58,0.43
Belarus,BLR,,,,-1.61,7.26,4.90
Belize,BLZ,5.20,6.34,5.52,5.77,5.02,3.84
Bermuda,BMU,6.59,3.61,2.04,1.89,2.71,-3.43
Bolivia,BOL,3.20,4.03,-0.44,3.99,3.69,4.83
Brazil,BRA,5.90,8.47,2.99,1.70,3.32,3.71
Barbados,BRB,6.36,3.35,2.23,0.87,1.14,0.34
Brunei Darussalam,BRN,,12.15,-2.39,2.08,1.41,2.32
Bhutan,BTN,,,10.02,5.39,8.27,9.88
Botswana,BWA,7.73,15.70,11.46,5.40,3.29,6.29
Sub-Saharan Africa (IFC classification),CAA,,,,,,
Central African Republic,CAF,1.93,2.01,0.93,1.29,3.56,6.29
Canada,CAN,5.43,4.10,3.04,2.44,2.09,2.48
East Asia and the Pacific (IFC classification),CEA,,,,,,
Europe and Central Asia (IFC classification),CEU,,,,,,
Switzerland,CHE,,0.94,2.33,1.10,1.81,1.93
Channel Islands,CHI,,,,3.77,1.48,
Chile,CHL,4.37,2.48,4.39,6.38,3.74,5.72
China,CHN,3.01,7.44,9.75,9.99,10.29,9.17
Cote d'Ivoire,CIV,8.71,7.61,-0.24,2.62,0.48,2.39
Latin America and the Caribbean (IFC classification),CLA,,,,,,
Middle East and North Africa (IFC classification),CME,,,,,,
Cameroon,CMR,2.05,7.29,4.00,0.41,3.43,4.01
"Congo, Rep.",COG,3.96,5.47,6.82,0.83,4.57,5.32
Colombia,COL,5.08,5.81,3.40,2.86,4.14,4.94
Comoros,COM,,,2.72,1.55,1.99,2.41
Cabo Verde,CPV,,,5.79,10.13,7.51,3.56
Costa Rica,CRI,5.94,6.34,2.29,5.48,4.08,4.84
South Asia (IFC classification),CSA,,,,,,
Caribbean small states,CSS,,6.98,1.05,2.29,3.79,0.81
Cuba,CUB,,5.46,4.08,-2.00,5.62,2.55
Curacao,CUW,,,,,,
Cayman Islands,CYM,,,,5.31,,
Cyprus,CYP,,13.58,6.09,4.43,3.24,-0.23
Czech Republic,CZE,,,,0.24,3.60,1.09
Germany,DEU,,3.08,1.96,2.17,0.90,2.68
Djibouti,DJI,,,,-1.99,3.15,
Dominica,DMA,,-3.34,6.28,2.28,2.57,-0.35
Denmark,DNK,4.77,2.52,1.89,2.41,0.84,0.70
Dominican Republic,DOM,4.83,8.20,3.79,4.99,5.14,5.37
Algeria,DZA,4.11,7.16,2.80,1.57,3.86,3.17
East Asia & Pacific (developing only),EAP,3.56,7.24,7.70,8.16,8.85,8.49
East Asia & Pacific (all income levels),EAS,8.79,4.66,5.01,3.45,3.81,5.04
Europe & Central Asia (developing only),ECA,,,3.43,-0.85,4.47,4.65
Europe & Central Asia (all income levels),ECS,5.01,3.47,2.34,1.63,1.91,1.55
Ecuador,ECU,3.71,7.28,2.63,2.32,3.89,5.30
"Egypt, Arab Rep.",EGY,5.43,6.25,5.92,4.34,4.88,3.04
Euro area,EMU,5.81,3.81,2.29,2.14,1.37,0.98
Eritrea,ERI,,,,8.07,0.45,5.96
Spain,ESP,7.78,3.87,2.79,2.69,2.60,-0.60
Estonia,EST,,,,4.50,4.48,5.35
Ethiopia,ETH,,,2.35,2.66,8.10,10.82
European Union,EUU,5.00,3.51,2.29,2.16,1.60,1.11
Finland,FIN,4.54,3.81,3.56,1.65,2.00,1.75
Fiji,FJI,4.39,6.45,0.81,3.16,1.13,1.43
France,FRA,5.55,4.11,2.29,1.87,1.32,1.26
Faeroe Islands,FRO,,,,,,
"Micronesia, Fed. Sts.",FSM,,,2.42,2.50,0.38,1.67
Gabon,GAB,6.71,9.86,1.88,2.48,1.17,6.47
United Kingdom,GBR,2.90,2.45,2.44,2.71,1.94,1.01
