ISO,height1810,height1840,height1860,height1880,height1900,height1920,height1930,height1950,height1960,height1970,height1980
AFG,,,,165.7,,,166.8,,,,
AGO,160.5,,,168.8,168.1,165.7,166.7,,,,
ALB,,,,170.1,169.2,,,,,,
ARE,,,,,,,,,,,169.1
ARG,168.8,169.6,167.4,167.6,167.9,169,169.8,170.8,,,
ARM,,,167.6,,163.6,,,,170.6,171.7,171.7
AUS,,,170.6,171.1,172.3,172.8,,,176.3,178.4,
AUT,,164.8,166.4,167.7,168.9,170.4,,,177,177.5,178.8
AZE,,,170.8,,,,,171.2,171.7,172,172.2
BDI,,,,,,166.1,169.4,,,,
BEL,163.1,165.1,166.6,,167.8,,,,176.8,,
BEN,164.9,,,,,168.1,168.2,169.9,170.7,170.3,169.2
BFA,166.3,162.6,,171.5,171.2,172.4,171,172.2,172.8,172.8,172.8
BGD,,,162.3,162.1,,,,161.6,162.2,,162.4
BGR,,,,167.6,,,171.7,172.9,,,
BHR,,,,,,,160.7,164,,,
BLR,,163.9,,,166.5,,,,,,176.4
BOL,,,,,162.5,,162.5,162.5,163.2,163.9,164.2
BRA,164.3,164.6,165,166.1,167.5,166.6,167,168.2,169,171.6,171.7
BWA,,,,,,,,,,,167.1
CAF,,,,167.1,167.3,163.6,164,169.3,170.8,169.9,
CAN,171.5,170.4,172,171.2,169.9,173,172.7,177,178.3,178.8,179.6
CHE,,,,166.8,170.5,170.9,171.3,,,,
CHL,,,,,,,,169.6,,,173.1
CHN,165.7,166.2,165.7,165.3,164,164.2,166.5,169.2,170,170,171.5
CIV,165.1,,,,167.9,166.7,167.5,170,171.3,171.2,171
CMR,165.9,,165.1,166.6,166.7,166.7,169.5,171.3,171.5,171.6,171
COD,163.3,,,163.2,,163.1,167.3,168.5,168.3,169,167.5
COG,163.3,,166,,,165.4,164.6,168.4,169.4,169,168.4
COL,,,,162.1,161.8,164.7,165.5,167.8,168.5,168.9,170.6
COM,,,,,,,,166.8,167,167,
CPV,,,,,,,,,,,169
CRI,,,,,,,,,,,173.6
CUB,,,,166.8,166.1,,,169.2,,,
