ISO,gdppercapita2011,gdppercapita1970
AGO,4214.45,2396.24
ALB,7364.71,3747.64
ARG,14507.62,2950.94
ARM,5235.04,
ATG,12908.97,4328.64
AUS,38499.27,16750.87
AUT,37282.53,12406.66
AZE,9317.08,
BDI,490.14,558.01
BEL,35446.27,14252.76
BEN,1231.88,1153.63
BFA,1051.52,503.75
BGD,1554.21,1364.96
BGR,12906.67,3023.84
BHR,20676.16,13387.91
BHS,19366.61,12045.06
BIH,7580.59,
BLR,15352.88,
BLZ,7366.64,3510.06
BMU,38923.09,18520.14
BOL,4166.78,1629.12
BRA,9294.53,3116.37
BRB,20642.24,12535.21
BRN,67543.79,54554.44
BTN,4607.02,1084.24
BWA,11810.75,706.12
CAF,617.29,1032.93
CAN,35344.87,16064.66
CHE,44823.64,23658.73
CHL,15243.33,6336.88
CHN,8068.60,966.92
CIV,1371.83,2363.19
CMR,1857.53,1233.60
COD,290.63,836.55
COG,2426.87,1270.84
COL,8407.92,4025.07
COM,921.28,1166.41
CPV,4125.81,965.64
CRI,10123.36,5446.86
CYP,28183.25,5797.19
CZE,23254.23,
DEU,34519.98,12944.22
DJI,2391.99,5402.75
DMA,11329.31,2899.32
DNK,35641.17,16978.34
DOM,8726.60,2705.56
ECU,6828.09,2533.23
EGY,4836.37,905.40
ESP,28740.77,9549.38
EST,20101.95,
ETH,782.71,556.73
FIN,33747.33,13099.40
FJI,4644.74,2951.07
FRA,31437.94,14512.68
GAB,12402.88,5351.55
GBR,32259.81,13004.91
GEO,5838.79,
GHA,2522.37,2114.91
GIN,958.32,1590.00
GMB,1236.29,1266.55
GNB,906.67,1230.59
GNQ,9175.83,353.50
GRC,23698.65,8588.25
GRD,8502.43,1531.14
GTM,4235.90,2889.37
HKG,38568.79,6777.86
HND,2919.84,2108.75
HRV,17215.82,
HUN,18852.01,4940.08
IDN,4339.49,825.20
IND,3601.68,1222.28
IRL,36704.62,8125.97
IRN,11818.47,3028.48
IRQ,4196.71,2577.81
ISL,31921.62,14466.64
ISR,25081.19,11729.06
ITA,29089.05,11089.52
JAM,5078.14,5474.39
JOR,5092.50,2702.27
JPN,30427.21,11451.39
KAZ,16270.30,
KEN,1297.57,1474.72
KGZ,2216.60,
KHM,2347.91,1298.75
KNA,12706.19,2426.75
KOR,27522.30,1903.57
KWT,63199.00,17249.84
LAO,2623.87,654.52
LBN,13158.62,5189.38
LBR,474.47,1596.03
LCA,9197.71,3800.87
LKA,4701.08,2560.14
LSO,1487.82,536.82
LTU,17200.30,
LUX,78130.59,22242.02
LVA,16005.82,
MAC,69471.51,5327.00
MAR,3647.45,1914.60
MDA,3392.57,
MDG,759.41,1327.29
MDV,10343.66,1108.23
MEX,12709.82,6929.52
MKD,8239.94,
MLI,941.06,452.41
MLT,23993.08,6220.10
MNE,11016.62,
MNG,5219.47,958.07
MOZ,817.70,408.34
MRT,2615.75,1665.12
MUS,9645.06,3806.06
MWI,802.26,774.91
MYS,13468.81,2743.98
NAM,5146.14,4142.39
NER,522.56,1030.42
NGA,2338.89,1716.31
NLD,38054.85,14861.05
NOR,52414.59,14899.90
NPL,1185.38,754.17
NZL,26666.53,14157.92
OMN,31054.64,4029.80
PAK,2472.89,1453.33
PAN,12154.75,4630.29
PER,8923.98,3357.04
PHL,3521.06,2076.39
POL,18430.43,4616.73
PRT,22289.90,6807.18
PRY,4351.30,1815.40
QAT,124720.40,79686.53
ROU,13574.31,2526.24
RUS,18678.27,
RWA,1201.50,971.20
SAU,25556.48,13668.99
SDN,2373.99,1010.46
SEN,1411.72,1633.78
SGP,51643.66,5262.33
SLE,867.03,1182.68
SLV,1116.53,816.88
SRB,9574.92,
STP,1851.73,1313.20
SUR,6699.65,4156.31
SVK,21466.95,
SVN,24364.60,
SWE,36100.79,16515.69
SWZ,4239.25,1504.57
SYR,3919.02,2743.49
TCD,1851.12,1123.32
TGO,946.69,1082.39
THA,8491.04,1982.10
TJK,2436.89,
TKM,12530.98,
TTO,20196.31,9203.12
TUN,6632.04,2200.06
TUR,14437.29,5732.40
TWN,28413.56,3770.13
TZA,1269.39,1287.40
UGA,1187.03,985.33
UKR,8175.74,
URY,12625.06,7049.31
USA,42646.21,20494.50
UZB,6208.95,
VCT,8091.78,2805.53
VEN,10342.57,8744.60
VNM,3447.77,700.06
YEM,2048.48,
ZAF,8457.45,5312.42
ZMB,2051.71,3873.56
ZWE,4347.79,2128.35
