year,Chile,Brazil,Bolivia,Argentina,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,Uruguay,Venezuela
1900,57,65,82,48.7,66,64,54,,67,74,88,92,72,76,,83,69,76,41,72
1910,47,65,80,39.6,61,54,43,,62,73,87,92,70,70,,73,62,71,35,71
1920,37,65,78,31.8,56,43,36,71,58,73,85,92,68,65,61,58,55,67,30,68
1930,25,61,75,25.1,48,33,29,74,54,72,81,92,67,64,61,54,48,63,24,64
1940,27,56,72,18.3,43,27,24,70,49,65,76,91,65,54,62,42,41,58,19,58
1950,21,51,68,12.4,38,21,22,57,44,58,71,89,60,40,62,33,34,49,14,49
1960,16,40,56,8.6,30,17,21,36,35,52,65,84,56,35,53,27,27,40,11,38
1970,12,32,42,7,22,12,11,33,26,42,55,78,47,25,43,21,20,28,7,24
1971,11,31,41,6.9,21,11,10,32,25,41,54,77,46,24,43,20,20,28,7,23
1972,11,30,40,6.7,21,11,10,32,24,40,53,76,45,24,42,20,19,27,7,22
1973,11,30,39,6.6,20,11,10,31,23,39,52,75,44,23,42,19,18,26,7,21
1974,10,29,38,6.4,19,10,9,30,23,39,52,75,43,22,41,19,18,25,6,20
1975,10,28,37,6.3,19,10,9,30,22,38,51,74,42,21,41,18,17,24,6,20
1976,10,27,35,6.2,18,10,9,29,21,37,50,73,42,21,41,17,16,23,6,19
1977,9,27,34,6,18,9,8,28,20,36,49,72,41,20,40,17,16,23,6,18
1978,9,26,33,5.9,17,9,8,27,20,35,48,71,40,19,40,16,15,22,6,17
1979,9,25,32,5.8,16,9,8,27,19,35,48,70,39,18,39,16,15,21,5,17
1980,8,25,31,5.6,16,8,7,26,18,34,47,69,39,18,39,15,14,21,5,16
1981,8,24,30,5.5,15,8,7,25,18,33,46,69,38,17,39,15,14,20,5,15
1982,8,23,29,5.3,15,8,7,25,17,33,45,68,37,17,38,14,13,19,5,15
1983,8,23,28,5.2,14,8,7,24,16,32,44,67,36,16,38,14,13,18,5,14
1984,7,22,27,5.1,14,7,6,24,16,32,44,66,36,15,37,13,12,18,4,14
1985,7,22,26,4.9,13,7,6,23,15,31,43,65,35,15,37,13,12,17,4,13
1986,7,21,25,4.8,13,7,6,23,15,30,42,64,34,14,37,12,11,17,4,13
1987,7,21,24,4.7,13,7,6,22,14,30,41,63,34,14,36,12,11,16,4,12
1988,6,20,23,4.5,12,7,5,22,14,29,41,62,33,13,36,12,10,16,4,12
1989,6,20,23,4.4,12,6,5,21,13,28,40,61,32,13,36,11,10,15,4,11
1990,6,19,22,4.3,11,6,5,21,13,28,39,60,32,12,35,11,10,14,3,11
1991,6,19,21,4.1,11,6,5,20,12,27,38,59,31,12,35,11,9,14,3,11
1992,6,18,20,4,11,6,5,20,12,26,37,58,30,11,35,10,9,13,3,10
1993,5,18,19,3.9,10,6,4,19,11,25,37,57,30,11,34,10,9,13,3,10
1994,5,17,18,3.8,10,5,4,19,11,25,36,56,29,11,34,10,8,13,3,9
1995,5,17,18,3.7,10,5,4,18,11,24,35,55,28,10,33,9,8,12,3,9
1996,5,16,17,3.5,9,5,4,18,10,23,34,54,28,10,33,9,8,12,3,9
1997,5,16,16,3.4,9,5,4,18,10,23,33,53,27,10,33,9,8,11,3,8
1998,5,16,16,3.3,9,5,4,17,9,22,33,52,27,9,32,9,7,11,2,8
1999,4,15,15,3.3,9,5,3,17,9,22,32,51,26,9,32,8,7,10,2,8
2000,4,15,15,3.2,8,4,3,16,8,21,31,50,25,9,34,8,7,10,2,7
