year,Wages salaries and pensions,Entrepreneurial income,Dividends,Interest Income,Rents
1916,3.62,6.09,6.02,1.73,1.12
1917,4.29,3.91,6.57,2.01,0.81
1918,4.38,4.25,4.73,1.73,0.79
1919,4.55,5.05,3.95,1.63,0.70
1920,4.64,3.84,3.95,1.39,0.64
1921,5.49,3.47,4.08,1.59,0.84
1922,5.21,3.61,4.46,1.71,1.30
1923,4.82,3.14,4.35,1.48,1.20
1924,5.13,3.65,4.73,1.60,1.22
1925,5.23,4.17,5.20,1.68,1.32
1926,5.29,3.84,5.80,1.78,1.29
1927,5.45,3.86,6.13,1.93,1.31
1928,5.60,4.18,6.45,2.05,1.31
1929,5.23,3.75,6.23,1.92,1.30
1930,5.33,2.55,5.74,1.68,1.13
1931,5.65,2.18,4.79,1.60,1.05
1932,6.71,1.89,4.20,1.60,1.07
1933,6.99,2.61,3.65,1.49,1.02
1934,6.77,2.71,4.14,1.24,1.00
1935,6.53,2.87,4.16,1.06,1.01
1936,6.37,3.36,5.94,0.84,1.13
1937,5.97,3.03,5.59,0.80,1.06
1938,6.23,2.96,3.85,0.76,0.93
1939,6.09,3.26,4.34,0.73,0.97
1940,6.19,3.53,4.39,0.64,0.97
1941,5.76,4.34,3.65,0.47,0.80
1942,4.61,4.87,2.45,0.36,0.61
1943,3.44,5.35,1.93,0.29,0.47
1944,3.25,4.93,1.66,0.26,0.45
1945,3.29,5.39,1.66,0.27,0.46
1946,3.71,5.32,1.96,0.28,0.50
1947,3.77,4.31,2.10,0.24,0.52
1948,3.96,4.24,2.26,0.25,0.55
1949,4.12,3.65,2.31,0.27,0.60
1950,4.09,3.93,2.44,0.28,0.63
1951,3.90,3.62,2.19,0.25,0.56
1952,3.68,3.36,1.95,0.25,0.53
1953,3.67,2.97,1.74,0.23,0.47
1954,3.70,3.09,1.86,0.27,0.47
1955,3.59,3.05,1.96,0.26,0.31
1956,3.58,2.91,1.96,0.27,0.38
1957,3.61,2.85,1.89,0.28,0.35
1958,3.60,2.79,1.78,0.29,0.35
1959,3.56,2.81,1.75,0.31,0.32
1960,3.55,2.52,1.64,0.32,0.33
1961,3.50,2.57,1.65,0.33,0.29
1962,3.48,2.55,1.60,0.35,0.28
1963,3.46,2.44,1.62,0.38,0.26
1964,3.42,2.28,1.75,0.38,0.19
1965,3.41,2.33,1.76,0.40,0.17
1966,3.42,2.73,1.55,0.41,0.27
1967,3.52,2.79,1.48,0.42,0.22
1968,3.50,2.63,1.53,0.45,0.23
1969,3.52,2.50,1.33,0.48,0.20
1970,3.56,2.34,1.16,0.51,0.23
1971,3.70,2.24,1.09,0.53,0.23
1972,3.82,2.11,1.06,0.52,0.25
1973,3.80,2.11,1.03,0.55,0.25
1974,4.01,2.12,1.05,0.64,0.29
1975,4.23,1.88,1.01,0.59,0.30
1976,4.32,1.73,1.01,0.55,0.28
1977,4.43,1.66,1.01,0.53,0.27
1978,4.62,1.56,0.99,0.52,0.27
1979,4.74,1.37,1.00,0.64,0.28
1980,4.95,1.09,1.03,0.82,0.29
1981,5.03,0.63,1.00,1.07,0.30
1982,5.25,0.69,1.04,1.08,0.33
1983,5.63,0.84,0.95,0.92,0.26
1984,5.87,0.88,0.80,1.11,0.24
1985,5.79,1.00,0.88,1.12,0.31
1986,6.00,1.02,0.98,0.97,0.16
1987,6.87,1.85,0.77,1.11,0.15
1988,7.87,2.79,1.00,1.32,0.19
1989,7.15,2.81,0.93,1.48,0.23
1990,7.51,2.89,0.88,1.44,0.26
1991,6.98,2.80,0.80,1.34,0.26
1992,8.30,3.18,0.73,0.96,0.30
1993,7.96,3.05,0.68,0.79,0.33
1994,7.60,3.44,0.68,0.78,0.35
1995,8.02,3.69,0.69,0.80,0.33
1996,8.42,3.82,0.73,0.80,0.34
1997,8.90,3.94,0.76,0.79,0.37
1998,9.34,4.07,0.73,0.79,0.36
1999,9.86,4.14,0.75,0.76,0.36
2000,10.39,4.07,0.83,0.85,0.36
2001,9.48,4.08,0.65,0.78,0.38
2002,9.17,4.11,0.63,0.69,0.40
2003,9.15,4.21,0.79,0.64,0.42
2004,9.54,4.65,1.06,0.67,0.42
2005,9.68,5.46,1.16,0.92,0.46
2006,9.66,5.43,1.33,1.20,0.43
2007,9.95,5.07,1.53,1.37,0.41
2008,9.97,5.07,1.35,0.99,0.52
2009,9.40,5.12,1.00,0.73,0.43
2010,9.98,5.10,1.22,0.70,0.46
2011,10.33,5.00,1.09,0.59,0.46
