year,ex0,ex14,ex59,ex1014,ex1519,ex2024,ex2529,ex3034,ex3539,ex4044,ex4549,ex5054,ex5559,ex6064,ex6569,ex7074,ex7579,ex8084,ex8589,ex9094,ex9599,ex100104,ex105109,ex110
1541,33.75,,,,,,,,,,,,,,,,,,,,,,,
1546,32.5,,,,,,,,,,,,,,,,,,,,,,,
1551,37.99,,,,,,,,,,,,,,,,,,,,,,,
1556,30.73,,,,,,,,,,,,,,,,,,,,,,,
1561,27.77,,,,,,,,,,,,,,,,,,,,,,,
1566,37.97,,,,,,,,,,,,,,,,,,,,,,,
1571,38.22,,,,,,,,,,,,,,,,,,,,,,,
1576,40.26,,,,,,,,,,,,,,,,,,,,,,,
1581,41.68,,,,,,,,,,,,,,,,,,,,,,,
1586,38.31,,,,,,,,,,,,,,,,,,,,,,,
1591,35.51,,,,,,,,,,,,,,,,,,,,,,,
1596,37.65,,,,,,,,,,,,,,,,,,,,,,,
1601,38.12,,,,,,,,,,,,,,,,,,,,,,,
1606,40.82,,,,,,,,,,,,,,,,,,,,,,,
1611,37.27,,,,,,,,,,,,,,,,,,,,,,,
1616,36.79,,,,,,,,,,,,,,,,,,,,,,,
1621,39.95,,,,,,,,,,,,,,,,,,,,,,,
1626,33.96,,,,,,,,,,,,,,,,,,,,,,,
1631,38.71,,,,,,,,,,,,,,,,,,,,,,,
1636,36.14,,,,,,,,,,,,,,,,,,,,,,,
1641,33.7,,,,,,,,,,,,,,,,,,,,,,,
1646,38.47,,,,,,,,,,,,,,,,,,,,,,,
1651,37.82,,,,,,,,,,,,,,,,,,,,,,,
1656,34.11,,,,,,,,,,,,,,,,,,,,,,,
1661,35.71,,,,,,,,,,,,,,,,,,,,,,,
1666,31.79,,,,,,,,,,,,,,,,,,,,,,,
1671,33.18,,,,,,,,,,,,,,,,,,,,,,,
1676,36.37,,,,,,,,,,,,,,,,,,,,,,,
1681,28.47,,,,,,,,,,,,,,,,,,,,,,,
1686,31.77,,,,,,,,,,,,,,,,,,,,,,,
1691,34.87,,,,,,,,,,,,,,,,,,,,,,,
1696,34.13,,,,,,,,,,,,,,,,,,,,,,,
1701,37.11,,,,,,,,,,,,,,,,,,,,,,,
1706,36.44,,,,,,,,,,,,,,,,,,,,,,,
1711,35.93,,,,,,,,,,,,,,,,,,,,,,,
1716,37.1,,,,,,,,,,,,,,,,,,,,,,,
1721,32.51,,,,,,,,,,,,,,,,,,,,,,,
1726,32.41,,,,,,,,,,,,,,,,,,,,,,,
1731,27.88,,,,,,,,,,,,,,,,,,,,,,,
1736,35.64,,,,,,,,,,,,,,,,,,,,,,,
1741,31.7,,,,,,,,,,,,,,,,,,,,,,,
1746,35.34,,,,,,,,,,,,,,,,,,,,,,,
1751,35.57,,,,,,,,,,,,,,,,,,,,,,,
1756,37.29,,,,,,,,,,,,,,,,,,,,,,,
1761,34.23,,,,,,,,,,,,,,,,,,,,,,,
1766,35.04,,,,,,,,,,,,,,,,,,,,,,,
1771,35.6,,,,,,,,,,,,,,,,,,,,,,,
1776,38.17,,,,,,,,,,,,,,,,,,,,,,,
1781,34.72,,,,,,,,,,,,,,,,,,,,,,,
1786,35.93,,,,,,,,,,,,,,,,,,,,,,,
1791,37.33,,,,,,,,,,,,,,,,,,,,,,,
1796,36.76,,,,,,,,,,,,,,,,,,,,,,,
1801,35.89,,,,,,,,,,,,,,,,,,,,,,,
1806,38.7,,,,,,,,,,,,,,,,,,,,,,,
1811,37.59,,,,,,,,,,,,,,,,,,,,,,,
1816,37.86,,,,,,,,,,,,,,,,,,,,,,,
1821,39.24,,,,,,,,,,,,,,,,,,,,,,,
1826,39.92,,,,,,,,,,,,,,,,,,,,,,,
1831,40.8,,,,,,,,,,,,,,,,,,,,,,,
1836,40.15,,,,,,,,,,,,,,,,,,,,,,,
1841,40.28,,,,,,,,,,,,,,,,,,,,,,,
1845,40.31,46.48,49.65,46.93,43.13,39.67,36.53,33.29,29.99,26.73,23.47,20.18,16.97,13.92,11.16,8.71,6.74,5.26,3.97,3,2.31,1.85,1.55,1.37
1855,41.1,47.49,50.59,47.78,43.93,40.41,37.16,33.83,30.45,27.11,23.79,20.47,17.22,14.11,11.28,8.8,6.74,5.18,3.96,3.02,2.35,1.89,1.59,1.41
1865,41.47,47.85,50.86,47.83,43.85,40.2,36.82,33.44,30.09,26.79,23.49,20.17,16.97,13.96,11.19,8.75,6.72,5.15,3.97,3.05,2.38,1.92,1.61,1.43
