year,McEvedy And Jones,Biraben,Durand Lower,Durand Upper,Haub,Thomlinson,UN 1999,Kremer,UN 2012 Revision (Medium),UN 2012 Revision (High),UN 2012 Revision (Low)
1,170,255,270,330,300,200,300,170,,,
200,190,256,,,,,,190,,,
400,190,206,,,,,,190,,,
500,190,206,,,,,,,,,
600,200,206,,,,,,200,,,
700,210,207,,,,,,,,,
800,220,224,,,,,,220,,,
900,240,226,,,,,,,,,
1000,265,254,275,345,,,310,265,,,
1100,320,301,,,,,,320,,,
1200,360,400,,,450,,,360,,,
1250,,416,,,,,400,,,,
1300,360,432,,,,400,,360,,,
1340,,443,,,,,,,,,
1400,350,374,,,,,,350,,,
1500,425,460,440,540,,,500,425,,,
1600,545,579,,,,,,545,,,
1650,545,,,,500,500,,545,,,
1700,610,679,,,,600,,610,,,
1750,720,770,735,805,795,700,790,720,,,
1800,900,954,,,,900,980,900,,,
1850,1200,1241,,,1265,1200,1260,1200,,,
1875,,,,,,,,1325,,,
1900,1625,1633,1650,1710,1656,1600,1650,1625,,,
1910,,,,,,,1750,,,,
1920,,,,,,,1860,1813,,,
1930,,,,,,,2070,1987,,,
1940,,,,,,,2300,2213,,,
1950,2500,2527,,,2516,2400,2520,2516,2526,2526,2526
1960,,,,,,,,3019,3026,3026,3026
1970,,,,,,,,3693,3691,3691,3691
1980,,,,,,,,4450,4449,4449,4449
1990,,,,,,,,5333,5321,5321,5321
2000,,,,,,,,,6128,6128,6128
2010,,,,,,,,,6916,6916.183,6916.183
2020,,,,,,,,,7717,7893.904,7539.163
2030,,,,,,,,,8425,8881.519,7969.407
2040,,,,,,,,,9039,9847.909,8255.351
2050,,,,,,,,,9551,10868.444,8341.706
2060,,,,,,,,,9957,11911.465,8248.967
2070,,,,,,,,,10277,12989.484,8016.514
2080,,,,,,,,,10524,14141.742,7660.738
2090,,,,,,,,,10717,15370.937,7226.104
2100,,,,,,,,,10854,16641.244,6750.256
