year,USA,UK_fam,UK_adults,Canada,Ireland,Australia,NewZealand_fam,NewZealand_adults
-2.20898E+12,,,,,,,,
-2.17743E+12,,,,,,,,
-2.14587E+12,,,,,,,,
-2.11431E+12,,,,,,,,
-2.08276E+12,,,,,,,,
-2.0512E+12,,,,,,,,
-2.01964E+12,,,,,,,,
-1.98808E+12,,,,,,,,
-1.95653E+12,,,,,,,,
-1.92497E+12,,,,,,,,
-1.89341E+12,,,,,,,,
-1.86186E+12,,,,,,,,
-1.8303E+12,,,,,,,,
-1.79874E+12,17.96,,,,,,,
-1.76719E+12,18.16,,,,,,,
-1.73563E+12,17.58,,,,,,,
-1.70407E+12,18.57,,,,,,,
-1.67252E+12,17.6,,,,,,,
-1.64096E+12,15.88,19.24,,,,,,
-1.6094E+12,15.87,19.59,,,,,,
-1.57785E+12,14.46,,,14.4,,,,
-1.54629E+12,15.47,,,17.6,,11.63,11.34,
-1.51473E+12,16.29,,,15.17,,10.68,10.47,
-1.48317E+12,14.99,,,14.38,,11.76,10.94,
-1.45162E+12,16.32,,,14.53,,11.67,10.89,
-1.42006E+12,17.6,,,13.18,,11.31,11.08,
-1.3885E+12,18.01,,,14.01,,11.07,10.84,
-1.35695E+12,18.68,,,14.69,,11.68,10.64,
-1.32539E+12,19.6,,,15.32,,11.85,11.47,
-1.29383E+12,18.42,,,15.64,,10.67,10.99,
-1.26228E+12,16.42,,,16.1,,9.75,10.57,
-1.23072E+12,15.27,,,16.6,,9.34,,
-1.19916E+12,15.48,,,17.67,,9.27,,
-1.16761E+12,15.77,,,18.03,,10.32,10.86,
-1.13605E+12,15.87,,,17.5,,10.36,10.42,
-1.10449E+12,15.63,,,16.99,,10.54,10.36,
-1.07293E+12,17.64,,,17.45,,11.28,10.66,
-1.04138E+12,16.45,16.98,,16.26,,9.83,8.33,
-1.00982E+12,14.73,,,18.4,16.93,10.39,7.32,
-9.78264E+11,15.39,,,16.88,,10.73,7.85,
-9.46707E+11,15.73,,,14.71,,10.3,7.42,
-9.1515E+11,15.01,,,13.3,,10.78,,
-8.83593E+11,12.91,,,11.3,,10.43,,
-8.52036E+11,11.48,,,10.72,12.92,10.45,,
-8.20479E+11,10.54,,,10.01,,9.03,,
-7.88923E+11,11.07,,,10.12,,8.44,6.88,
-7.57366E+11,11.76,,,10.72,,9.51,7.5,
-7.25809E+11,10.95,,,10.99,,10.62,7.72,
-6.94252E+11,11.27,,,10.39,,10.8,7.74,
-6.62695E+11,10.95,11.47,,10.68,,11.26,8.02,
-6.31138E+11,11.36,,,10.88,,14.13,9.44,
-5.99581E+11,10.52,10.89,,10.03,,9.08,7.88,
-5.68024E+11,9.76,10.2,,9.84,,8.99,7.94,
-5.36467E+11,9.08,9.72,,9.88,,8.71,,9.9
-5.0491E+11,9.39,9.67,,10.33,,8.06,,9.54
-4.73354E+11,9.18,9.3,,10.19,,7.54,,8.76
-4.41797E+11,9.09,8.75,,9.62,,7.91,,8.91
-4.1024E+11,8.98,8.7,,9.64,,7.04,,8.65
-3.78683E+11,8.83,8.76,,9.89,,7.44,,7.26
-3.47126E+11,8.75,8.6,,9.74,,7.39,,7.6
-3.15569E+11,8.36,8.87,,9.77,,7.09,,7.44
-2.84012E+11,8.34,,,9.93,,7.1,,
-2.52455E+11,8.27,8.43,,9.37,,7.23,,7.25
-2.20898E+11,8.16,8.49,,9.14,,7.36,,7.29
-1.89341E+11,8.02,8.48,,9.38,,6.84,,7.42
-1.57785E+11,8.07,8.55,,9.2,,6.69,,6.72
-1.26228E+11,8.37,7.92,,8.91,,6.47,,6.56
-94670700000,8.43,7.69,,9,,6.58,,6.59
-63113800000,8.35,7.54,,9.04,,6.38,,6.72
-31556900000,8.02,7.46,,9.01,,6.25,,6.7
0,7.8,7.05,,8.97,,5.92,,6.64
31556900000,7.79,7.02,,8.87,,5.92,,6.43
63113800000,7.75,6.94,,8.75,,6.06,,7.08
94670700000,7.74,6.99,,8.8,,5.67,,7.47
1.26228E+11,8.12,6.54,,8.81,,5.22,,7.55
1.57785E+11,8.01,6.1,,8.74,5.96,5.13,,6.56
1.89341E+11,7.89,5.89,,8.08,5.83,4.99,,7.48
2.20898E+11,7.9,5.93,,7.74,5.64,4.92,,6.13
2.52455E+11,7.95,5.72,,7.6,6.16,4.87,,6.12
2.84012E+11,8.03,5.93,,7.72,8.03,4.83,,5.77
3.15569E+11,8.18,,,8.06,6.65,4.79,,5.65
3.47126E+11,8.03,6.67,,7.8,6.37,4.61,,5.5
3.78683E+11,8.39,6.85,,8.46,6.87,4.67,,5.49
4.1024E+11,8.59,6.83,,8.21,7.05,4.68,,5.68
4.41797E+11,8.89,7.16,,8.28,6.5,4.75,,5.6
4.73354E+11,9.09,7.4,,8.21,6.27,5.02,,5.51
5.0491E+11,9.13,7.55,,8.24,6.15,5.39,,4.88
5.36467E+11,10.75,7.78,,8.4,6.14,6.67,,5.48
5.68024E+11,13.17,8.63,,9.34,6.15,8.41,,5.35
5.99581E+11,12.61,8.67,,10.01,6.38,6.43,,6.59
6.31138E+11,12.98,,9.8,9.35,6.64,6.34,,8.21
6.62695E+11,12.17,,10.32,9.36,7.3,6.41,,7.96
6.94252E+11,13.48,,9.86,9.31,7.83,6.55,,8.4
7.25809E+11,12.82,,10.36,9.56,7.55,6.96,,8.76
7.57366E+11,12.85,,10.6,9.59,7.93,7.13,,9
7.88923E+11,13.53,,10.75,9.97,8.19,7.23,,8.98
8.20479E+11,14.11,,11.9,10.49,8.48,7.24,,8.92
8.52036E+11,14.77,,12.07,11.26,8.73,7.81,,9.16
8.83593E+11,15.29,,12.53,11.78,9.67,7.84,,10.21
9.1515E+11,15.87,,12.51,12.03,9.44,8.84,,13.44
9.46707E+11,16.49,,12.67,12.78,10.32,9.03,,7.92
9.78264E+11,15.37,,12.71,12.7,9.73,8.31,,8.32
1.00982E+12,14.99,,12.27,12.35,9.98,8.79,,8.34
1.04138E+12,15.21,,12.12,12.28,10.3,9.18,,8.81
1.07293E+12,16.34,,12.89,12.65,10.87,8.89,,9.41
1.10449E+12,17.68,,14.25,13.09,11.6,9.12,,8.92
1.13605E+12,18.06,,14.82,13.71,12.51,10.06,,8.14
1.16761E+12,18.33,,15.44,13.72,11.64,9.84,,7.83
1.19916E+12,17.89,,,13.06,10.48,8.59,,8.11
1.23072E+12,16.68,,13.88,12.29,10.5,8.88,,7.84
1.26228E+12,17.45,,,12.22,,9.17,,7.35
1.29383E+12,17.47,,,,,,,
