year,World,East Asia Pacific,Europe Central Asia,North America,Latin America Caribbean,Sub-Saharan Africa,Middle East North Africa,South Asia
1960,181.0,,,30.3,164.7,,260.8,247.4
1961,179.1,,,29.7,159.8,,255.9,244.7
1962,179.7,,,29.1,155.0,,248.0,239.9
1963,175.6,,,28.4,147.5,,240.4,235.7
1964,173.5,,,27.8,143.2,252.6,233.2,231.6
1965,170.6,,,27.1,138.9,255.4,226.6,227.8
1966,169.1,,,26.4,135.1,250.4,220.5,224.2
1967,168.7,,,25.6,131.5,248.3,230.1,220.5
1968,163.3,128.0,57.7,24.8,128.0,245.4,221.5,217.1
1969,149.6,114.4,57.4,24.0,122.0,243.6,213.3,214.1
1970,144.6,109.2,54.6,23.2,118.7,240.2,205.7,210.9
1971,140.6,104.5,52.7,22.3,115.4,236.8,198.5,207.7
1972,137.3,99.8,52.3,21.3,112.1,233.2,190.1,204.5
1973,133.9,95.1,50.9,20.4,108.9,229.5,182.9,201.2
1974,130.5,90.8,49.5,19.5,105.6,219.2,173.5,197.4
1975,127.9,87.8,48.2,18.6,102.1,215.1,165.2,193.4
1976,125.1,83.7,47.0,17.7,98.7,211.2,157.2,189.0
1977,122.6,79.9,46.3,16.9,95.0,207.3,148.9,184.5
1978,120.4,77.1,44.9,16.1,91.3,203.3,140.4,179.6
1979,118.2,73.9,46.8,15.4,87.7,199.7,132.0,174.8
1980,115.7,71.0,45.0,14.8,84.0,197.0,123.5,170.0
1981,112.4,68.3,42.9,14.2,80.4,193.9,115.2,165.4
1982,109.2,65.9,42.1,13.6,76.9,191.1,107.1,161.0
1983,105.8,63.9,40.6,13.1,73.5,188.6,99.4,156.8
1984,102.3,62.3,39.1,12.7,70.2,186.2,92.4,152.7
1985,99.2,60.6,37.7,12.4,67.3,184.1,86.1,148.7
1986,96.7,59.6,36.3,12.1,64.4,182.3,80.5,144.6
1987,94.5,58.8,35.1,11.8,61.7,180.7,75.8,140.6
1988,92.6,58.2,34.0,11.6,59.2,179.3,71.7,136.7
1989,91.1,57.5,32.9,11.3,56.7,178.1,68.2,132.9
1990,89.8,56.7,32.1,10.9,54.3,176.8,65.2,129.1
1991,88.6,55.6,31.4,10.6,52.0,175.7,62.4,125.5
1992,87.5,54.2,30.9,10.2,49.6,174.4,59.9,121.9
1993,86.6,52.5,30.3,9.9,47.3,173.1,57.5,118.3
1994,85.7,50.7,29.5,9.6,45.0,172.6,55.2,114.8
1995,84.5,48.9,28.5,9.3,42.8,170.4,53.0,111.4
1996,83.3,47.1,27.3,9.0,40.5,167.6,50.7,107.9
1997,81.8,45.3,26.0,8.7,38.4,165.3,48.6,104.4
1998,79.9,43.3,24.7,8.5,36.3,162.5,46.5,100.9
1999,77.7,41.4,23.4,8.4,34.3,158.8,44.4,97.4
2000,75.4,39.2,22.2,8.2,32.4,154.8,42.4,94.0
2001,73.0,37.0,20.9,8.1,30.7,150.3,40.4,90.6
2002,70.4,34.7,19.8,8.0,29.2,145.5,38.5,87.2
2003,67.8,32.5,18.7,7.9,27.7,140.5,36.6,83.8
2004,65.3,30.4,17.6,7.9,26.3,135.4,34.9,80.6
2005,62.8,28.4,16.7,7.9,25.1,130.4,33.3,77.6
2006,60.3,26.7,15.8,7.8,24.0,125.3,31.8,74.7
2007,58.0,25.1,15.0,7.6,23.0,120.2,30.4,72.0
2008,55.7,23.7,14.2,7.5,22.0,115.2,29.2,69.5
2009,53.5,22.5,13.5,7.4,21.2,110.5,28.0,66.9
2010,51.7,21.5,12.9,7.3,22.8,105.8,27.0,64.5
2011,49.6,20.5,12.3,7.1,19.7,101.6,26.1,61.9
2012,47.8,19.6,11.7,7.0,19.0,97.5,25.3,59.5
