bracket,share
"Under $5,000",0.0343
"$5,000 to  $9,999",0.0386
"$10,000 to $14,999",0.0570
"$15,000 to $19,999",0.0584
"$20,000 to $24,999",0.0582
"$25,000 to $29,999",0.0550
"$30,000 to $34,999",0.0519
"$35,000 to $39,999",0.0476
"$40,000 to $44,999",0.0453
"$45,000 to $49,999",0.0429
"$50,000 to $54,999",0.0417
"$55,000 to $59,999",0.0348
"$60,000 to $64,999",0.0356
"$65,000 to $69,999",0.0322
"$70,000 to $74,999",0.0307
"$75,000 to $79,999",0.0279
"$80,000 to $84,999",0.0272
"$85,000 to $89,999",0.0216
"$90,000 to $94,999",0.0219
"$95,000 to $99,999",0.0182
"$100,000 to $104,999",0.0213
"$105,000 to $109,999",0.0150
"$110,000 to $114,999",0.0162
"$115,000 to $119,999",0.0120
"$120,000 to $124,999",0.0130
"$125,000 to $129,999",0.0108
"$130,000 to $134,999",0.0102
"$135,000 to $139,999",0.0093
"$140,000 to $144,999",0.0091
"$145,000 to $149,999",0.0075
"$150,000 to $154,999",0.0093
"$155,000 to $159,999",0.0066
"$160,000 to $164,999",0.0060
"$165,000 to $169,999",0.0047
"$170,000 to $174,999",0.0050
"$175,000 to $179,999",0.0047
"$180,000 to $184,999",0.0041
"$185,000 to $189,999",0.0030
"$190,000 to $194,999",0.0035
"$195,000 to $199,999",0.0031
"- larger brackets -",
"$200,000 to $249,999",0.0208
"$250,000 and over",0.0238
