year,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,Southern Africa,Western Europe,Central Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India +,Korea,China +,Southeastern Asia,Indonesia +,Japan,Oceania,Greenland,Antarctica
1400,0.18,1.74,23.00,1.80,0.94,10.40,8.52,28.38,11.32,6.81,40.72,10.69,5.80,2.73,3.22,6.87,10.81,98.82,3.50,72.42,9.66,7.53,9.30,0.42,0.00,0.00
1500,0.20,1.89,25.00,2.09,1.00,11.13,8.30,31.79,12.26,6.56,53.75,13.08,6.25,3.64,3.50,8.81,11.48,105.13,4.00,92.55,10.92,8.96,12.30,0.49,0.00,0.00
1600,0.20,0.78,1.00,1.31,1.00,5.49,11.00,37.08,13.41,7.51,70.44,16.24,8.00,4.55,4.00,10.95,13.59,136.41,5.00,99.38,12.87,9.76,17.00,0.56,0.00,0.00
1700,0.20,0.93,4.00,1.69,1.22,5.35,9.30,43.36,14.56,8.63,79.85,18.02,8.50,6.06,4.49,12.46,12.75,167.20,6.25,101.56,14.97,10.82,26.70,0.64,0.00,0.00
1710,0.23,1.37,4.34,1.76,1.32,5.45,9.30,46.52,14.86,8.55,84.38,19.04,8.60,6.85,4.65,13.39,13.00,175.47,6.87,106.34,15.52,10.93,29.00,0.63,0.00,0.00
1720,0.26,1.82,4.67,1.85,1.44,5.54,9.36,46.68,15.06,8.63,87.90,19.86,8.72,7.28,4.80,14.90,13.18,183.75,7.31,121.93,16.09,11.03,29.00,0.64,0.00,0.00
1730,0.31,2.27,5.01,1.95,1.56,5.64,9.42,46.88,15.26,8.72,91.47,20.74,8.85,7.73,4.96,16.43,13.36,192.05,7.79,129.59,16.67,11.14,29.00,0.65,0.00,0.00
1740,0.36,2.71,5.34,2.07,1.70,5.74,9.48,47.11,15.48,8.81,95.08,21.66,8.98,8.22,5.12,17.96,13.55,200.37,8.29,145.67,17.25,11.24,29.00,0.66,0.00,0.00
1750,0.42,3.16,5.68,2.21,1.85,5.84,9.55,47.37,15.69,8.91,98.75,22.64,9.11,8.74,5.30,19.50,13.74,208.70,8.83,181.28,17.83,11.35,29.00,0.68,0.00,0.00
1760,0.50,3.60,6.01,2.38,2.02,5.95,9.61,47.66,15.92,9.01,102.46,23.68,9.24,9.29,5.49,21.05,13.94,217.04,9.40,200.17,18.41,11.85,28.80,0.69,0.00,0.00
1770,0.58,4.05,6.35,2.57,2.21,6.05,9.67,47.98,16.15,9.11,106.13,24.78,9.37,9.88,5.69,22.61,14.14,225.40,10.02,223.45,18.99,12.36,28.60,0.70,0.00,0.00
1780,0.69,4.50,6.69,2.82,2.42,6.16,9.73,48.33,16.38,9.23,110.29,25.94,9.51,10.51,5.90,24.18,14.35,233.77,10.67,279.38,19.58,12.86,28.40,0.72,0.00,0.00
1790,0.82,4.94,7.02,3.11,2.66,6.27,9.79,48.71,16.63,9.35,114.87,27.19,9.65,11.17,6.12,25.76,14.56,242.16,11.36,302.63,20.16,13.36,28.20,0.74,0.00,0.00
1800,0.97,6.32,7.36,3.46,2.93,6.38,9.85,49.12,16.89,9.47,119.07,28.51,9.79,11.89,6.35,27.36,14.78,250.57,12.11,295.97,20.75,13.87,28.00,0.76,0.00,0.00
1810,1.15,8.18,7.69,3.88,3.62,6.50,10.41,49.55,17.15,9.61,124.54,29.93,9.93,12.65,6.60,28.97,15.05,259.41,12.90,346.24,21.88,14.57,28.80,0.76,0.00,0.00
1820,1.38,10.60,8.03,4.29,4.45,6.98,11.05,50.58,17.73,9.85,133.97,31.51,10.07,13.59,6.87,30.94,15.33,250.55,13.74,357.20,23.02,15.28,29.60,0.80,0.00,0.00
1830,1.65,13.84,8.36,4.95,5.65,8.24,12.44,51.65,19.51,10.11,145.66,34.29,10.45,14.63,7.15,33.10,15.99,263.03,13.93,393.11,24.93,15.98,30.40,0.87,0.00,0.00
1840,1.99,18.02,8.70,5.55,6.86,9.42,13.84,52.75,21.31,10.57,157.54,37.21,10.82,15.90,7.45,38.89,16.66,260.82,13.97,415.81,27.03,16.69,31.20,1.00,0.00,0.00
1850,2.40,23.80,9.04,6.27,8.08,10.96,15.24,53.88,23.14,11.07,166.21,39.94,11.19,16.84,7.76,42.13,17.33,282.74,14.01,434.32,29.24,17.39,32.00,1.33,0.00,0.00
1860,3.40,31.89,9.37,6.90,9.31,12.89,15.65,55.05,25.13,12.15,175.70,43.77,11.57,18.92,8.09,48.15,18.02,296.54,14.14,427.13,32.74,21.80,33.17,2.04,0.00,0.00
1870,3.89,38.97,9.71,7.66,10.55,14.34,17.47,56.84,27.20,13.32,186.02,47.71,11.97,21.04,8.45,52.20,18.81,310.60,14.26,363.04,36.23,26.20,34.35,2.71,0.00,0.00
1880,4.54,50.59,10.04,8.52,11.74,16.75,19.42,58.72,29.32,15.27,200.55,53.28,12.24,24.20,9.25,59.80,20.86,313.76,14.33,367.41,41.22,30.60,36.81,3.33,0.00,0.00
1890,5.10,63.13,11.85,9.50,14.58,20.79,23.13,60.72,31.45,16.63,214.65,58.97,12.49,27.85,10.00,68.42,22.87,339.55,14.43,379.03,46.25,35.01,40.08,4.40,0.00,0.00
1900,5.51,76.22,13.62,10.63,17.67,24.18,26.33,62.87,33.64,18.68,232.46,63.38,12.74,32.94,11.21,76.64,24.45,348.00,14.52,404.12,51.39,39.41,44.77,5.22,0.00,0.00
1910,7.24,91.61,15.16,12.63,22.27,28.93,29.17,65.20,35.88,21.04,253.77,68.88,13.00,39.44,12.45,94.52,26.03,331.42,14.77,427.80,58.35,47.21,50.37,6.10,0.00,0.00
1920,8.85,106.02,14.34,15.34,30.92,35.04,31.99,69.99,39.32,24.84,259.97,69.07,14.29,40.69,14.28,87.75,28.00,337.58,17.44,477.40,66.12,55.10,55.96,7.34,0.00,0.00
1930,10.48,123.21,16.55,18.04,41.14,41.64,34.88,75.54,43.13,29.45,276.33,78.87,15.87,39.71,15.41,97.55,30.04,371.49,20.66,495.43,75.78,62.99,64.45,8.64,0.00,0.00
1940,11.69,132.17,19.65,21.15,41.97,49.38,38.67,82.03,47.32,35.25,291.91,82.03,18.98,42.44,18.02,120.44,34.52,420.73,23.74,529.47,87.51,70.89,73.11,9.76,0.00,0.00
1950,13.74,157.82,27.74,27.19,53.97,58.44,43.79,89.70,51.96,41.80,303.77,94.10,21.48,47.38,17.50,110.48,38.68,481.40,28.95,547.88,98.75,78.95,82.82,11.01,0.02,0.00
1960,18.63,191.96,40.41,35.81,77.25,78.85,58.62,115.99,69.03,55.53,330.56,108.45,29.71,55.35,26.30,133.43,53.18,605.26,37.97,674.86,134.48,99.37,94.96,14.47,0.04,0.00
1970,21.72,209.47,51.91,43.18,95.99,95.44,71.83,140.78,85.70,68.45,350.82,115.65,36.21,59.95,33.18,142.79,67.63,720.57,45.69,821.40,166.35,119.47,104.45,17.09,0.05,0.00
1980,24.52,229.47,68.87,52.92,121.62,119.30,92.48,184.93,113.88,90.90,366.31,125.05,46.16,63.71,41.31,152.99,94.71,910.29,54.70,987.88,209.19,149.78,116.79,19.75,0.05,0.00
1990,27.70,254.87,83.40,63.40,149.57,145.99,120.68,245.36,153.14,119.46,376.26,131.14,56.09,66.21,50.41,164.28,135.82,1143.31,63.13,1150.38,262.21,181.52,123.19,22.80,0.06,0.00
2000,30.69,287.85,99.53,74.35,174.17,173.23,144.62,321.56,200.33,152.80,388.79,128.87,66.46,63.02,55.36,162.61,174.05,1396.06,69.29,1276.45,311.91,210.67,126.71,25.78,0.06,0.00
