year,USA & Canada,Central America,South America,Africa,Europe,Russia & Central-Asia,Middle East (incl Turkey),India +,China +,Southeastern Asia,Korea & Japan,Oceania
1400,1.92,24.8,11.34,55.03,54.14,10.09,16.61,98.82,72.42,17.19,12.8,0.42
1500,2.09,27.09,12.13,58.91,70.47,12.31,17.73,105.13,92.55,19.88,16.3,0.49
1600,0.98,2.31,6.49,69,91.23,14.95,21.59,136.41,99.38,22.63,22,0.56
1700,1.13,5.69,6.57,75.85,103.93,16.95,21.25,167.2,101.56,25.79,32.95,0.64
1710,1.6,6.1,6.77,79.23,110.27,18.04,21.6,175.47,106.34,26.45,35.87,0.63
1720,2.08,6.52,6.98,79.73,115.04,19.7,21.9,183.75,121.93,27.12,36.31,0.64
1730,2.58,6.96,7.2,80.28,119.94,21.39,22.21,192.05,129.59,27.81,36.79,0.65
1740,3.07,7.41,7.44,80.88,124.96,23.08,22.53,200.37,145.67,28.49,37.29,0.66
1750,3.58,7.89,7.69,81.52,130.13,24.8,22.85,208.7,181.28,29.18,37.83,0.68
1760,4.1,8.39,7.97,82.2,135.43,26.54,23.18,217.04,200.17,30.26,38.2,0.69
1770,4.63,8.92,8.26,82.91,140.79,28.3,23.51,225.4,223.45,31.35,38.62,0.7
1780,5.19,9.51,8.58,83.67,146.74,30.08,23.86,233.77,279.38,32.44,39.07,0.72
1790,5.76,10.13,8.93,84.48,153.23,31.88,24.21,242.16,302.63,33.52,39.56,0.74
1800,7.29,10.82,9.31,85.33,159.47,33.71,24.57,250.57,295.97,34.62,40.11,0.76
1810,9.33,11.57,10.12,86.72,167.12,35.57,24.98,259.41,346.24,36.45,41.7,0.76
1820,11.98,12.32,11.43,89.21,179.07,37.81,25.4,250.55,357.2,38.3,43.34,0.8
1830,15.49,13.31,13.89,93.71,194.58,40.25,26.44,263.03,393.11,40.91,44.33,0.87
1840,20.01,14.25,16.28,98.47,210.65,46.34,27.48,260.82,415.81,43.72,45.17,1
1850,26.2,15.31,19.04,103.33,222.99,49.89,28.52,282.74,434.32,46.63,46.01,1.33
1860,35.29,16.27,22.2,107.98,238.39,56.24,29.59,296.54,427.13,54.54,47.31,2.04
1870,42.86,17.37,24.89,114.83,254.77,60.65,30.78,310.6,363.04,62.43,48.61,2.71
1880,55.13,18.56,28.49,122.73,278.03,69.05,33.1,313.76,367.41,71.82,51.14,3.33
1890,68.23,21.35,35.37,131.93,301.47,78.42,35.36,339.55,379.03,81.26,54.51,4.4
1900,81.73,24.25,41.85,141.52,328.78,87.85,37.19,348,404.12,90.8,59.29,5.22
1910,98.85,27.79,51.2,151.29,362.09,106.97,39.03,331.42,427.8,105.56,65.14,6.1
1920,114.87,29.68,65.96,166.14,369.73,102.03,42.29,337.58,477.4,121.22,73.4,7.34
1930,133.69,34.59,82.78,183,394.91,112.96,45.91,371.49,495.43,138.77,85.11,8.64
1940,143.86,40.8,91.35,203.27,416.38,138.46,53.5,420.73,529.47,158.4,96.85,9.76
1950,171.56,54.93,112.41,227.25,445.27,127.98,60.16,481.4,547.88,177.7,111.77,11.01
1960,210.59,76.22,156.1,299.17,494.4,159.73,82.89,605.26,674.86,233.85,132.93,14.47
1970,231.19,95.09,191.43,366.76,526.47,175.97,103.84,720.57,821.4,285.82,150.14,17.09
1980,253.99,121.79,240.92,482.19,555.12,194.3,140.87,910.29,987.88,358.97,171.49,19.75
1990,282.57,146.8,295.56,638.64,573.67,214.69,191.91,1143.31,1150.38,443.73,186.32,22.8
2000,318.54,173.88,347.4,819.31,580.74,217.97,240.51,1396.06,1276.45,522.58,196,25.78
2010,351.54,195.5,393.22,1032.84,593.33,217.96,290.66,1644.05,1364.46,596.51,199.49,28.95
2020,383.26,215.39,430.21,1276.12,598.57,220.73,339.31,1876.71,1442.45,662.01,197.94,31.86
2030,410.09,231.88,458.06,1523.89,595.6,219.75,383.61,2068.3,1474.5,716.55,191.87,34.51
2040,431.37,242.62,475.48,1769.27,587.49,216.43,421.42,2214.04,1467.5,756.28,182.25,36.68
2050,448.35,246.4,482.85,1998.07,576.15,212.04,450.77,2317.63,1429.71,778.84,170.3,38.47
2060,435.47,244.67,484.35,2172.77,561.5,206.67,462.4,2402.25,1362.81,774.22,156.9,39.79
2070,422.29,236.33,476.02,2303.61,544.7,199.19,462.37,2474.05,1264.47,754.24,142.97,40.78
2080,407.48,220.19,455.88,2381.1,524.21,188.36,448.6,2544.47,1114.25,715.31,127.53,41.46
2090,395.21,202.91,432.29,2389.28,506.5,177.72,428.07,2597.36,961.55,672.77,115.2,41.72
2100,381.41,180.39,399.41,2333.81,486.06,164.06,396.37,2651.52,763.03,615.7,102.05,41.66
