year,Germany,Switzerland,Portugal,Japan,Italy,Spain,France,Finland,Sweden,Denmark,Netherlands
-2.20898E+12,18.63,,,16.26,,,,,,,
-2.17743E+12,18.29,,,16.93,,,,,,,
-2.14587E+12,17.78,,,17.99,,,,,,,
-2.11431E+12,17.63,,,17.55,,,,,26.99,16.21,
-2.08276E+12,17.81,,,16.58,,,,,,,
-2.0512E+12,18.22,,,18.07,,,19,,,,
-2.01964E+12,18.14,,,18.12,,,,,,,
-1.98808E+12,17.96,,,18.26,,,,,21.46,,
-1.95653E+12,17.36,,,18.93,,,,,,16.45,
-1.92497E+12,17.15,,,18.74,,,,,,,
-1.89341E+12,17.24,,,18.88,,,,,,,
-1.86186E+12,17.48,,,17.99,,,,,19.57,,
-1.8303E+12,17.52,,,17.91,,,,,20.92,,
-1.79874E+12,17.77,,,17.45,,,,,,,
-1.76719E+12,17.78,,,18.55,,,,,,,20.96
-1.73563E+12,19.53,,,19.6,,,18.31,,,24.02,25.58
-1.70407E+12,21.32,,,19.52,,,20.65,,28.04,,27.88
-1.67252E+12,22.42,,,18.68,,,20.09,,,27.61,26.51
-1.64096E+12,22.2,,,16.62,,,17.95,,,26.08,21.95
-1.6094E+12,19.47,,,15.25,,,19.5,,16.33,21.28,23.74
-1.57785E+12,,,,17.09,,,17.95,15.27,13.48,15.32,20.59
-1.54629E+12,,,,18.48,,,17.32,15.2,,12.78,18.29
-1.51473E+12,,,,19.55,,,17.87,14.85,,12.75,16.82
-1.48317E+12,,,,19.72,,,18.91,13.46,,13.86,16.45
-1.45162E+12,,,,19.72,,,17.96,12.07,,13.78,17.34
-1.42006E+12,11.3,,,18.32,,,18.16,12.64,,12.54,17.75
-1.3885E+12,11.3,,,18.55,,,17.82,13.22,,12.1,17.99
-1.35695E+12,11.5,,,17.89,,,17.45,13.34,,12.96,18.37
-1.32539E+12,11.2,,,18.51,,,17.27,13.45,,13.25,18.63
-1.29383E+12,11.1,,,18.35,,,16.15,13.57,,13.29,18.09
-1.26228E+12,,,,16.78,,,15.31,13.5,13.74,13.28,17.15
-1.23072E+12,,,,17.38,,,14.63,13.43,,13.44,15.59
-1.19916E+12,11.4,,,17.56,,,14.8,13.41,,13.53,14.43
-1.16761E+12,10.9,9.98,,18.28,,,14.95,13.4,,13.86,14.2
-1.13605E+12,11.3,9.69,,18.96,,,15.28,13.38,11.95,14.36,14.02
-1.10449E+12,12,,,18.74,,,15.4,11.74,12.32,14.2,14
-1.07293E+12,13.7,9.94,,18.68,,,14.74,12.39,,14.43,14.83
-1.04138E+12,15,,,19.26,,,14.46,13.04,,14.31,16.05
-1.00982E+12,16.3,,,19.92,,,14.27,13.04,,13.33,15.68
-9.78264E+11,,11.78,,17.95,,,13.3,12.26,,13.46,15.79
-9.46707E+11,,,,16.45,,,13.35,11.47,,13.82,
-9.1515E+11,,,,16.67,,,12.88,10.69,10.29,13.68,17.64
-8.83593E+11,,,,15.11,,,11.53,9.91,,13.4,
-8.52036E+11,,10.54,,13.62,,,10.13,9.13,10.44,12.06,
-8.20479E+11,,,,10.74,,,8.37,8.35,10.04,11.16,
-7.88923E+11,,10.49,,6.43,,,7.54,7.57,9.77,11.37,
-7.57366E+11,,,,,,,9.22,6.79,10.07,10.6,12.86
-7.25809E+11,,10.01,,7.36,,,9.22,6.01,8.62,10.66,
-6.94252E+11,,,,7.79,,,8.75,6.23,7.9,9.87,
-6.62695E+11,,9.88,,7.89,,,9.01,7.71,7.64,9.65,
-6.31138E+11,11.6,,,7.69,,,8.98,7.75,7.59,9.44,12.05
-5.99581E+11,,9.91,,7.28,,,9,8.03,7.33,9.25,
-5.68024E+11,,,,7.85,,,9.16,8.48,6.8,9.05,12.61
-5.36467E+11,,9.78,,7.46,,,9,8.51,6.9,8.99,11.99
-5.0491E+11,,,,7.2,,,9.14,8.91,6.9,8.66,
-4.73354E+11,,9.78,,6.91,,,9.33,8.94,6.78,8.75,
-4.41797E+11,,,,7.37,,,9.37,9.2,6.65,8.95,
-4.1024E+11,11,10.11,,7.68,,,9.37,9.18,6.81,8.28,10.39
-3.78683E+11,,,,7.74,,,9.01,9.92,6.81,8.61,11.29
-3.47126E+11,,10.54,,7.97,,,9.46,10.01,7,8.74,10.43
-3.15569E+11,,,,8.17,,,9.71,9.5,6.83,8.62,
-2.84012E+11,12.2,10.87,,8.44,,,9.88,10.16,6.77,8.47,
-2.52455E+11,,,,8.68,,,9.46,10.01,6.65,8.5,10.58
-2.20898E+11,,10.91,,8.5,,,9.43,10.16,6.64,8.1,
-1.89341E+11,,,,8.33,,,9.56,9.46,6.5,7.91,10.07
-1.57785E+11,12.2,10.67,,7.9,,,9.58,9.47,6.47,7.79,
-1.26228E+11,,,,7.62,,,9.36,9.47,6.35,7.81,9.46
-94670700000,,10.86,,7.63,,,9.36,9.54,6.55,7.8,9.26
-63113800000,11.2,,,7.56,,,8.77,9.31,6.57,8.16,
-31556900000,,11,,8.01,,,8.55,7.84,6.41,,
0,,,,8.19,,,8.33,9.87,6.16,9.18,8.64
31556900000,11.3,10.81,,8.42,,,8.47,9.26,5.8,8.24,
63113800000,,,,8.1,,,8.52,8.7,5.67,8.24,
94670700000,,9.77,,7.62,,,8.87,8.1,5.57,,6.9
1.26228E+11,10.1,,,7.2,7.46,,8.5,7.46,5.47,7.31,
1.57785E+11,,8.79,,7.08,7.24,,8.48,5.91,5.29,6.8,6.12
1.89341E+11,,,7.89,6.81,7.1,,8.44,5.66,4.95,6.62,
2.20898E+11,10.2,8.49,6.4,6.77,6.8,,7.79,5.51,4.69,6.13,6.01
2.52455E+11,,,5.77,6.96,6.71,,7.8,5.15,4.47,5.77,
2.84012E+11,,8.4,4.52,7.25,6.83,,7.82,4.87,4.25,5.62,
3.15569E+11,10.43,,4.32,7.16,6.9,,7.63,4.32,4.05,5.47,
3.47126E+11,,8.4,3.97,7.11,6.47,7.5,7.55,3.96,3.97,5.38,5.85
3.78683E+11,,,4.79,7.02,6.4,7.75,7.07,3.55,3.98,5.21,
4.1024E+11,9.06,8.39,,6.94,6.34,7.65,6.99,3.49,4.08,5.27,
4.41797E+11,,,,6.95,6.54,7.61,7.03,4.11,4.13,5.26,
4.73354E+11,,9.05,,7.03,6.81,7.75,7.2,4.03,4.12,5.21,5.92
5.0491E+11,9.64,,,7.21,7.13,8.21,7.44,3.86,4.11,5.15,
5.36467E+11,,9.07,,7.66,7.45,8.4,7.75,5.03,4.24,5.24,
5.68024E+11,,,,7.63,7.6,8.36,7.92,4.96,4.38,5.18,
5.99581E+11,10.52,9.22,6.84,7.9,7.79,8.46,8.21,4.7,4.48,5.24,5.7
6.31138E+11,,,7.21,8.05,7.78,8.36,8.23,5.83,4.38,5.17,5.56
6.62695E+11,,8.6,7.46,7.54,7.84,8.08,7.97,5.64,5.1,5.01,5.54
6.94252E+11,10.43,,7.58,7.12,7.81,8.2,7.75,5.5,5.04,5.02,5.5
7.25809E+11,,8.42,8.06,7.15,7.92,7.83,7.65,5.72,5.22,5.13,5.24
7.57366E+11,,,8.19,7.06,7.99,7.89,7.71,5.67,5.53,5,5.33
7.88923E+11,8.84,8.48,8.41,7.3,8.13,7.88,7.7,6.13,5.25,5.03,5.37
8.20479E+11,,8.85,8.45,7.36,,7.89,7.73,5.93,5.59,5.12,5.39
8.52036E+11,,8.86,8.78,7.32,,7.91,7.77,6.83,5.72,5.24,5.46
8.83593E+11,10.88,9.1,8.78,7.59,8.74,8.08,7.94,7.62,5.87,5.4,5.29
9.1515E+11,,10.25,9.23,7.76,8.82,8.5,8.15,9.46,6.01,5.47,5.38
9.46707E+11,,10.42,9.09,8.22,9.09,8.65,8.29,9.96,5.97,5.73,
9.78264E+11,,10.06,9.65,8.6,9.28,8.57,8.43,8.86,5.95,5.62,
1.00982E+12,,9.33,8.97,8.73,9.28,8.34,8.46,8.66,5.67,5.55,
1.04138E+12,,9.38,9.13,8.92,9.36,8.46,8.55,8.76,5.52,5.5,
1.07293E+12,,9.64,9.62,9.29,9.28,8.55,8.73,9.65,5.72,5.57,
1.10449E+12,,9.84,9.77,9.42,9.35,8.67,8.73,7.6,6.28,5.78,
1.13605E+12,,10.3,,9.62,9.72,9,8.94,8.39,6.61,5.91,
1.16761E+12,,10.91,,9.64,9.86,8.89,9.25,8.26,6.91,6.12,
1.19916E+12,,10.96,,9.71,9.66,8.61,8.8,8.5,7.09,6.05,
1.23072E+12,,10.54,,9.56,9.38,8.48,8.08,7.46,6.72,5.44,
1.26228E+12,,,,9.51,,8.24,,,6.91,6.41,
1.29383E+12,,,,,,,,,7.02,,
