year,Sweden,France,United Kingdom,Denmark,Germany,Iceland,Burkina Faso,"Korea, Rep.",India,Chile,Russia,Ghana,Japan
1751,299.81,,,,,,,,,,,,
1752,359.65,,,,,,,,,,,,
1753,303.42,,,,,,,,,,,,
1754,326.9,,,,,,,,,,,,
1755,345.04,,,,,,,,,,,,
1756,337.77,,,,,,,,,,,,
1757,356.3,,,,,,,,,,,,
1758,335.26,,,,,,,,,,,,
1759,284.96,,,,,,,,,,,,
1760,272.6,,,,,,,,,,,,
1761,315.61,,,,,,,,,,,,
1762,376.98,,,,,,,,,,,,
1763,395.31,,,,,,,,,,,,
1764,316.08,,,,,,,,,,,,
1765,316.03,,,,,,,,,,,,
1766,311.9,,,,,,,,,,,,
1767,298.52,,,,,,,,,,,,
1768,357.49,,,,,,,,,,,,
1769,358.49,,,,,,,,,,,,
1770,325.43,,,,,,,,,,,,
1771,323.35,,,,,,,,,,,,
1772,366.57,,,,,,,,,,,,
1773,489.7,,,,,,,,,,,,
1774,279.57,,,,,,,,,,,,
1775,305.87,,,,,,,,,,,,
1776,256.2,,,,,,,,,,,,
1777,302.06,,,,,,,,,,,,
1778,353.23,,,,,,,,,,,,
1779,394.25,,,,,,,,,,,,
1780,261.1,,,,,,,,,,,,
1781,300.41,,,,,,,,,,,,
1782,300.98,,,,,,,,,,,,
1783,344.56,,,,,,,,,,,,
1784,382.21,,,,,,,,,,,,
1785,344.64,,,,,,,,,,,,
1786,294.85,,,,,,,,,,,,
1787,270.35,,,,,,,,,,,,
1788,325.87,,,,,,,,,,,,
1789,343.75,,,,,,,,,,,,
1790,325.49,,,,,,,,,,,,
1791,286.18,,,,,,,,,,,,
1792,297.34,,,,,,,,,,,,
1793,299.77,,,,,,,,,,,,
1794,280.6,,,,,,,,,,,,
1795,314.49,,,,,,,,,,,,
1796,315.34,,,,,,,,,,,,
1797,294.05,,,,,,,,,,,,
1798,271.73,,,,,,,,,,,,
1799,288.98,,,,,,,,,,,,
1800,381.11,,,,,,,,,,,,
1801,328.8,,,,,,,,,,,,
1802,282.91,,,,,,,,,,,,
1803,275.34,,,,,,,,,,,,
1804,271.67,,,,,,,,,,,,
1805,265.89,,,,,,,,,,,,
1806,332.75,,,,,,,,,,,,
1807,278.34,,,,,,,,,,,,
1808,349.58,,,,,,,,,,,,
1809,365.9,,,,,,,,,,,,
1810,346.01,,,,,,,,,,,,
1811,324.64,,,,,,,,,,,,
1812,312.19,,,,,,,,,,,,
1813,303.56,,,,,,,,,,,,
1814,299.37,,,,,,,,,,,,
1815,274.63,,,,,,,,,,,,
1816,273.48,273.21,,,,,,,,,,,
1817,276.06,283.46,,,,,,,,,,,
1818,269.7,293.69,,,,,,,,,,,
1819,293.64,312.23,,,,,,,,,,,
