year,ex0,ex14,ex59,ex1014,ex1519,ex2024,ex2529,ex3034,ex3539,ex4044,ex4549,ex5054,ex5559,ex6064,ex6569,ex7074,ex7579,ex8084,ex8589,ex9094,ex9599,ex100104,ex105109,ex110
1541,33.75,,,,,,,,,,,,,,,,,,,,,,,
1546,32.5,,,,,,,,,,,,,,,,,,,,,,,
1551,37.99,,,,,,,,,,,,,,,,,,,,,,,
1556,30.73,,,,,,,,,,,,,,,,,,,,,,,
1561,27.77,,,,,,,,,,,,,,,,,,,,,,,
1566,37.97,,,,,,,,,,,,,,,,,,,,,,,
1571,38.22,,,,,,,,,,,,,,,,,,,,,,,
1576,40.26,,,,,,,,,,,,,,,,,,,,,,,
1581,41.68,,,,,,,,,,,,,,,,,,,,,,,
1586,38.31,,,,,,,,,,,,,,,,,,,,,,,
1591,35.51,,,,,,,,,,,,,,,,,,,,,,,
1596,37.65,,,,,,,,,,,,,,,,,,,,,,,
1601,38.12,,,,,,,,,,,,,,,,,,,,,,,
1606,40.82,,,,,,,,,,,,,,,,,,,,,,,
1611,37.27,,,,,,,,,,,,,,,,,,,,,,,
1616,36.79,,,,,,,,,,,,,,,,,,,,,,,
1621,39.95,,,,,,,,,,,,,,,,,,,,,,,
1626,33.96,,,,,,,,,,,,,,,,,,,,,,,
1631,38.71,,,,,,,,,,,,,,,,,,,,,,,
1636,36.14,,,,,,,,,,,,,,,,,,,,,,,
1641,33.7,,,,,,,,,,,,,,,,,,,,,,,
1646,38.47,,,,,,,,,,,,,,,,,,,,,,,
1651,37.82,,,,,,,,,,,,,,,,,,,,,,,
1656,34.11,,,,,,,,,,,,,,,,,,,,,,,
1661,35.71,,,,,,,,,,,,,,,,,,,,,,,
1666,31.79,,,,,,,,,,,,,,,,,,,,,,,
1671,33.18,,,,,,,,,,,,,,,,,,,,,,,
1676,36.37,,,,,,,,,,,,,,,,,,,,,,,
1681,28.47,,,,,,,,,,,,,,,,,,,,,,,
1686,31.77,,,,,,,,,,,,,,,,,,,,,,,
1691,34.87,,,,,,,,,,,,,,,,,,,,,,,
1696,34.13,,,,,,,,,,,,,,,,,,,,,,,
1701,37.11,,,,,,,,,,,,,,,,,,,,,,,
1706,36.44,,,,,,,,,,,,,,,,,,,,,,,
1711,35.93,,,,,,,,,,,,,,,,,,,,,,,
1716,37.1,,,,,,,,,,,,,,,,,,,,,,,
1721,32.51,,,,,,,,,,,,,,,,,,,,,,,
1726,32.41,,,,,,,,,,,,,,,,,,,,,,,
1731,27.88,,,,,,,,,,,,,,,,,,,,,,,
1736,35.64,,,,,,,,,,,,,,,,,,,,,,,
1741,31.7,,,,,,,,,,,,,,,,,,,,,,,
1746,35.34,,,,,,,,,,,,,,,,,,,,,,,
1751,35.57,,,,,,,,,,,,,,,,,,,,,,,
1756,37.29,,,,,,,,,,,,,,,,,,,,,,,
1761,34.23,,,,,,,,,,,,,,,,,,,,,,,
1766,35.04,,,,,,,,,,,,,,,,,,,,,,,
1771,35.6,,,,,,,,,,,,,,,,,,,,,,,
1776,38.17,,,,,,,,,,,,,,,,,,,,,,,
1781,34.72,,,,,,,,,,,,,,,,,,,,,,,
1786,35.93,,,,,,,,,,,,,,,,,,,,,,,
1791,37.33,,,,,,,,,,,,,,,,,,,,,,,
1796,36.76,,,,,,,,,,,,,,,,,,,,,,,
1801,35.89,,,,,,,,,,,,,,,,,,,,,,,
1806,38.7,,,,,,,,,,,,,,,,,,,,,,,
1811,37.59,,,,,,,,,,,,,,,,,,,,,,,
1816,37.86,,,,,,,,,,,,,,,,,,,,,,,
1821,39.24,,,,,,,,,,,,,,,,,,,,,,,
1826,39.92,,,,,,,,,,,,,,,,,,,,,,,
1831,40.8,,,,,,,,,,,,,,,,,,,,,,,
1836,40.15,,,,,,,,,,,,,,,,,,,,,,,
1841,40.28,,,,,,,,,,,,,,,,,,,,,,,
1845,40.31,47.48,54.65,56.93,58.13,59.67,61.53,63.29,64.99,66.73,68.47,70.18,71.97,73.92,76.16,78.71,81.74,85.26,88.97,93,97.31,101.85,106.55,111.37
1855,41.1,48.49,55.59,57.78,58.93,60.41,62.16,63.83,65.45,67.11,68.79,70.47,72.22,74.11,76.28,78.8,81.74,85.18,88.96,93.02,97.35,101.89,106.59,111.41
1865,41.47,48.85,55.86,57.83,58.85,60.2,61.82,63.44,65.09,66.79,68.49,70.17,71.97,73.96,76.19,78.75,81.72,85.15,88.97,93.05,97.38,101.92,106.61,111.43
