year,More developed countries,Less developed countries,Least developed countries,More developed countries (Projection),Less developed countries (Projection),Least developed countries (Projection)
1955,1.21,2.09,2.08,,,
1956,,,,,,
1957,,,,,,
1958,,,,,,
1959,,,,,,
1960,1.16,2.12,2.26,,,
1961,,,,,,
1962,,,,,,
1963,,,,,,
1964,,,,,,
1965,1.08,2.17,2.4,,,
1966,,,,,,
1967,,,,,,
1968,,,,,,
1969,,,,,,
1970,0.86,2.54,2.55,,,
1971,,,,,,
1972,,,,,,
1973,,,,,,
1974,,,,,,
1975,0.78,2.38,2.18,,,
1976,,,,,,
1977,,,,,,
1978,,,,,,
1979,,,,,,
1980,0.66,2.14,2.48,,,
1981,,,,,,
1982,,,,,,
1983,,,,,,
1984,,,,,,
1985,0.58,2.13,2.54,,,
1986,,,,,,
1987,,,,,,
1988,,,,,,
1989,,,,,,
1990,0.56,2.08,2.63,,,
1991,,,,,,
1992,,,,,,
1993,,,,,,
1994,,,,,,
1995,0.43,1.81,2.75,,,
1996,,,,,,
1997,,,,,,
1998,,,,,,
1999,,,,,,
2000,0.33,1.59,2.46,,,
2001,,,,,,
2002,,,,,,
2003,,,,,,
2004,,,,,,
2005,0.37,1.42,2.37,,,
2006,,,,,,
2007,,,,,,
2008,,,,,,
2009,,,,,,
2010,0.41,1.33,2.21,,,
2011,,,,,,
2012,,,,,,
2013,,,,,,
2015,,,,0.33,1.26,2.23
2020,,,,0.27,1.14,2.13
2025,,,,0.21,1.02,2
2030,,,,0.15,0.9,1.87
2035,,,,0.1,0.79,1.75
2040,,,,0.07,0.69,1.64
2045,,,,0.05,0.6,1.53
2050,,,,0.03,0.5,1.42
2055,,,,0,0.42,1.31
2060,,,,-0.02,0.34,1.2
2065,,,,-0.02,0.28,1.1
2070,,,,0,0.23,1
2075,,,,0.02,0.18,0.91
2080,,,,0.05,0.14,0.82
2085,,,,0.07,0.11,0.74
2090,,,,0.08,0.09,0.66
2095,,,,0.08,0.07,0.59
2100,,,,0.08,0.05,0.53
