year,World (before 10000 BCE),World (10000 BCE until 1400CE),World (1400-1955),World (1955-today),More developed regions,Less developed regions,Least developed countries,World (Projection),More developed regions (Projection),Less developed regions (Projection),Least developed countries (Projection)
-1000000,0.000297,,,,,,,,,,
-300000,0.000439,,,,,,,,,,
-25000,0.0031,,,,,,,,,,
-10000,0.0045,0.0045,,,,,,,,,
-5000,,0.0336,,,,,,,,,
-4000,,0.0693,,,,,,,,,
-3000,,0.0657,,,,,,,,,
-2000,,0.0616,,,,,,,,,
-1000,,0.1386,,,,,,,,,
-500,,0.1352,,,,,,,,,
-200,,0.0623,,,,,,,,,
1,,0.0559,,,,,,,,,
200,,0,,,,,,,,,
400,,0.0256,,,,,,,,,
600,,0.0477,,,,,,,,,
800,,0.0931,,,,,,,,,
1000,,0.1886,,,,,,,,,
1100,,0.1178,,,,,,,,,
1200,,0,,,,,,,,,
1300,,-0.02817,,,,,,,,,
1400,,0.1942,0.1942,,,,,,,,
1500,,,0.2487,,,,,,,,
1600,,,0,,,,,,,,
1650,,,0.2253,,,,,,,,
1700,,,0.3316,,,,,,,,
1750,,,0.4463,,,,,,,,
1800,,,0.5754,,,,,,,,
1850,,,0.3964,,,,,,,,
1875,,,0.8164,,,,,,,,
1900,,,0.8306,,,,,,,,
1920,,,0.9164,,,,,,,,
1930,,,1.0772,,,,,,,,
1940,,,1.2832,,,,,,,,
1955,,,1.82,1.82,1.21,2.09,2.08,,,,
1960,,,,1.83,1.16,2.12,2.26,,,,
1965,,,,1.85,1.08,2.17,2.4,,,,
1970,,,,2.07,0.86,2.54,2.55,,,,
1975,,,,1.96,0.78,2.38,2.18,,,,
1980,,,,1.77,0.66,2.14,2.48,,,,
1985,,,,1.76,0.58,2.13,2.54,,,,
1990,,,,1.74,0.56,2.08,2.63,,,,
1995,,,,1.52,0.43,1.81,2.75,,,,
2000,,,,1.34,0.33,1.59,2.46,,,,
2005,,,,1.22,0.37,1.42,2.37,,,,
2010,,,,1.16,0.41,1.33,2.21,,,,
2015,,,,,,,,1.1,0.33,1.26,2.23
2020,,,,,,,,1,0.27,1.14,2.13
2025,,,,,,,,0.89,0.21,1.02,2
2030,,,,,,,,0.78,0.15,0.9,1.87
2035,,,,,,,,0.69,0.1,0.79,1.75
2040,,,,,,,,0.6,0.07,0.69,1.64
2045,,,,,,,,0.52,0.05,0.6,1.53
2050,,,,,,,,0.44,0.03,0.5,1.42
2055,,,,,,,,0.36,0,0.42,1.31
2060,,,,,,,,0.29,-0.02,0.34,1.2
2065,,,,,,,,0.24,-0.02,0.28,1.1
2070,,,,,,,,0.2,0,0.23,1
2075,,,,,,,,0.16,0.02,0.18,0.91
2080,,,,,,,,0.13,0.05,0.14,0.82
2085,,,,,,,,0.1,0.07,0.11,0.74
2090,,,,,,,,0.09,0.08,0.09,0.66
2095,,,,,,,,0.07,0.08,0.07,0.59
2100,,,,,,,,0.06,0.08,0.05,0.53
