year,Belgium,Denmark,France,Germany,Ireland,Italy,Netherlands,Spain,Sweden,Switzerland,U.K.,Australia,Canada,USA
1870,72.2,69.9,66.1,67.6,63.8,63.3,65,64.7,69.6,65.4,56.9,56.2,57.2,62
1880,69.3,64.6,66,66.3,62,63.4,63.4,62.7,64.6,63.1,56.6,53.3,59,61
1890,66.5,59.9,65.9,65.1,60.2,63.6,61.9,60.8,59.9,60.9,56.3,50.5,60.9,60
1900,64.2,56,65.9,64,58.6,63.8,60.5,59.1,56,59,56,48.1,62.6,59.1
1913,59.5,55.8,62,57,56.4,62.4,58.6,56.7,56,56.3,56,44.7,57.9,58.3
1929,48.2,48.5,48,46,46.6,48.8,48.1,48.5,48,48.5,47,45.5,49,48
1938,48,47.6,39,48.5,48.2,48.5,48.5,47,46.3,46.3,48.6,45,47.2,37.3
1950,,46,44.8,48.2,45,47.8,49.2,,46.8,47.5,45.7,39.6,42.3,42.4
1960,42.5,44.4,45.9,45.6,,42.4,,,43.4,46.1,44.7,39.6,40.7,40.2
1970,39.9,39,44.8,43.8,42.7,42.9,45.1,,,,42,39.6,39.7,38.8
1980,38.5,37.5,40.7,41.6,41.1,42.5,40.8,40,37.7,43.8,40,39.2,38.5,39.1
1990,36.6,35,39.9,39,42.1,39.6,34,38.9,38.2,41.6,42.4,40.1,38,39.7
2000,36.9,38.5,35.75,39.9,39.35,38.4,33.85,35.45,37.7,,40.45,40.55,39.4,40.25
